21_JUMP_STREET.srt 	21_JUMP_STREET_DVS34 	00:03:53,00 --> 00:03:58,50 	in another class someone gets an f on a test.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS324 	00:54:08,00 --> 00:54:12,50 	two girls get up from their easels.
BLINDDATING.srt 	BLINDDATING_DVS60 	00:19:00,00 --> 00:19:09,50 	outside, a buxom woman in a tight gold mini-dress gets out of the limo with her client.
BLINDDATING.srt 	BLINDDATING_DVS255 	01:01:35,00 --> 01:02:02,50 	now, seated in his bedroom at his parents house, someone peels off his dress shirt, he gets up and slams the door shut.
BLINDDATING.srt 	BLINDDATING_DVS263 	01:04:44,00 --> 01:04:50,50 	someone gets the door for someone, who enters alone.
BRUNO.srt 	BRUNO_DVS141 	00:33:48,00 --> 00:33:56,50 	someone, get that.
BRUNO.srt 	BRUNO_DVS174 	00:47:32,00 --> 00:47:48,50 	the protester struggles to get away.
BRUNO.srt 	BRUNO_DVS192 	00:50:11,00 --> 00:50:17,50 	someone gets to his feet, his gaze locked on the tvs.
BRUNO.srt 	BRUNO_DVS201 	00:54:09,00 --> 00:54:15,50 	but pretends to fall, and get back up.
BURLESQUE.srt 	BURLESQUE_DVS122 	00:16:54,00 --> 00:16:59,50 	now a rugged man gets someone's attention.
BURLESQUE.srt 	BURLESQUE_DVS330 	00:45:05,00 --> 00:45:13,50 	as the dancers get ready backstage, someone descends the staircase with a drink in her hand.
BURLESQUE.srt 	BURLESQUE_DVS376 	00:52:04,00 --> 00:52:09,50 	someone gets up.
BURLESQUE.srt 	BURLESQUE_DVS520 	01:11:43,00 --> 01:11:54,50 	he peels it, then gets distracted by her breasts, and lowers the phallic fruit to his crotch.
BURLESQUE.srt 	BURLESQUE_DVS548 	01:19:23,00 --> 01:19:29,50 	someone gets in a convertible and wrestles her bag down beside her.
BURLESQUE.srt 	BURLESQUE_DVS601 	01:28:33,00 --> 01:28:40,50 	she lowers her disappointed gaze and purses her lips, then gets up from the daybed.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS182 	00:14:16,00 --> 00:14:22,50 	the cliffs get closer as he glides across the water toward shore.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS195 	00:15:13,00 --> 00:15:20,50 	the novice gets to his feet.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS237 	00:18:49,00 --> 00:18:55,50 	ahead, a man gets out of an old pickup.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS694 	01:07:34,00 --> 01:07:38,50 	she gets to her feet.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS814 	01:20:22,00 --> 01:20:30,50 	someone gets up on his knees, bends over, and paddles both hands in synchronized strokes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS857 	01:24:36,00 --> 01:24:40,50 	he gets up from his seat.
CHRONICLE.srt 	CHRONICLE_DVS83 	00:11:24,00 --> 00:11:31,50 	someone and someone get down on the ground and peer down the deep hole.
CHRONICLE.srt 	CHRONICLE_DVS161 	00:24:23,00 --> 00:24:28,50 	a woman gets out of the red car.
CHRONICLE.srt 	CHRONICLE_DVS309 	00:46:39,00 --> 00:46:46,50 	his opponent, someone, gets a high-five from someone and a flirty squeeze from someone.
CHRONICLE.srt 	CHRONICLE_DVS382 	00:58:24,00 --> 00:58:29,50 	he gets up swiftly and puts on his coat.
CHRONICLE.srt 	CHRONICLE_DVS452 	01:06:27,00 --> 01:06:32,50 	we get in someone's car with someone.
CHRONICLE.srt 	CHRONICLE_DVS466 	01:07:48,00 --> 01:07:54,50 	a cop suddenly gets flung away from their car.
CHRONICLE.srt 	CHRONICLE_DVS506 	01:12:38,00 --> 01:12:46,50 	as someone slowly gets to his hands and knees, bits of glass strewn around him rise off the pavement.
CHRONICLE.srt 	CHRONICLE_DVS518 	01:13:46,00 --> 01:14:01,50 	as someone unsteadily gets to his feet, someone stays low to the ground.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS108 	00:25:02,00 --> 00:25:06,50 	someone gets into his car.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS117 	00:27:21,00 --> 00:27:26,50 	someone gets out a leather-handled box.
COLOMBIANA.srt 	COLOMBIANA_DVS72 	00:05:10,00 --> 00:05:15,50 	someone and his guards get out.
COLOMBIANA.srt 	COLOMBIANA_DVS284 	00:23:48,00 --> 00:23:54,50 	she gets out of bed, crosses to a window, and peers outside.
COLOMBIANA.srt 	COLOMBIANA_DVS311 	00:26:50,00 --> 00:26:55,50 	she smiles down at the girl who coldly gets to her feet.
COLOMBIANA.srt 	COLOMBIANA_DVS502 	00:44:44,00 --> 00:44:51,50 	a caucasian man with chestnut hair gets out.
COLOMBIANA.srt 	COLOMBIANA_DVS539 	00:48:44,00 --> 00:48:49,50 	a blonde woman gets strangled in a restroom.
COLOMBIANA.srt 	COLOMBIANA_DVS544 	00:49:57,00 --> 00:50:04,50 	at night, a man with broodingly handsome features gets out of a parked car.
COLOMBIANA.srt 	COLOMBIANA_DVS616 	00:58:23,00 --> 00:58:29,50 	several bodyguards get out and someone approaches them.
COLOMBIANA.srt 	COLOMBIANA_DVS787 	01:16:04,00 --> 01:16:09,50 	someone parks at a curb and gets out.
COLOMBIANA.srt 	COLOMBIANA_DVS793 	01:16:41,00 --> 01:16:47,50 	he gets a 100% match on her nose.
COLOMBIANA.srt 	COLOMBIANA_DVS1048 	01:38:36,00 --> 01:38:43,50 	as she gets thrown against the wall, the brushes fall from her grasp.
COLOMBIANA.srt 	COLOMBIANA_DVS1060 	01:39:19,00 --> 01:39:25,50 	someone races to the garage and gets into a van.
DEAR_JOHN.srt 	DEAR_JOHN_DVS115 	00:17:37,00 --> 00:17:45,50 	then gets out of the car.
DEAR_JOHN.srt 	DEAR_JOHN_DVS192 	00:30:07,00 --> 00:30:12,50 	getting a look at his face, someone slows.
DEAR_JOHN.srt 	DEAR_JOHN_DVS324 	00:50:18,00 --> 00:50:30,50 	someone gets out.
DEAR_JOHN.srt 	DEAR_JOHN_DVS328 	00:50:52,00 --> 00:50:57,50 	now at the someone house, they get out of the car.
DEAR_JOHN.srt 	DEAR_JOHN_DVS496 	01:12:29,00 --> 01:12:37,50 	as helooks at the nurse's kind expression, someone's vision gets blurrier, and he closes his eyes.
DEAR_JOHN.srt 	DEAR_JOHN_DVS640 	01:27:17,00 --> 01:27:23,50 	the soldier gets up and ambles towards a mantle.
DEAR_JOHN.srt 	DEAR_JOHN_DVS673 	01:30:52,00 --> 01:30:57,50 	someone gets out and races away.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS81 	00:16:34,00 --> 00:16:38,50 	he stops and gets out.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS136 	00:31:11,00 --> 00:31:16,50 	someone gets up from the desk.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS141 	00:31:40,00 --> 00:31:44,50 	as she gets in the lift,
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS146 	00:36:15,00 --> 00:36:21,50 	someone parks the porsche and gets out.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS149 	00:36:29,00 --> 00:36:34,50 	someone gets out on his own
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS191 	00:46:18,00 --> 00:46:24,50 	someone gets up and copies.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS220 	00:55:55,00 --> 00:56:04,50 	someone hides behind the porsche as martha gets out of her car and waves to someone as he comes out of the building.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS224 	00:56:18,00 --> 00:56:25,50 	as someone gets in the car, he shoots a superior look in someone's direction.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS239 	00:59:35,00 --> 00:59:40,50 	he gets up and goes in the living room.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS249 	01:00:17,00 --> 01:00:23,50 	the next morning, someone gets someone some cereal.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS279 	01:10:00,00 --> 01:10:06,50 	someone gets in the driver's seat.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS331 	01:19:08,00 --> 01:19:14,50 	he gets up and goes over to a wooden chest.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS374 	01:31:03,00 --> 01:31:09,50 	someone gets to his feet.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS378 	01:32:32,00 --> 01:32:38,50 	annoyed, someone gets up from the table.
DISTRICT_9.srt 	DISTRICT_9_DVS482 	00:56:05,00 --> 00:56:10,50 	now you, get down there.
DISTRICT_9.srt 	DISTRICT_9_DVS506 	00:59:28,00 --> 00:59:33,50 	we get the fluid back from mnu.
DISTRICT_9.srt 	DISTRICT_9_DVS575 	01:07:58,00 --> 01:08:04,50 	get that hand.
DISTRICT_9.srt 	DISTRICT_9_DVS629 	01:13:44,00 --> 01:13:52,50 	and someone gets in next to him.
DISTRICT_9.srt 	DISTRICT_9_DVS826 	01:37:23,00 --> 01:37:39,50 	as it gets to its feet again,
EASY_A.srt 	EASY_A_DVS240 	01:13:10,00 --> 01:13:16,50 	someone gets in his car.
FLIGHT.srt 	FLIGHT_DVS24 	00:03:25,00 --> 00:03:30,50 	she gets off the bed.
FLIGHT.srt 	FLIGHT_DVS112 	00:22:12,00 --> 00:22:17,50 	one wheel gets stuck while retracting.
FLIGHT.srt 	FLIGHT_DVS351 	00:58:01,00 --> 00:58:07,50 	he gets in the car and unscrews a gallon bottle of vodka.
FLIGHT.srt 	FLIGHT_DVS404 	01:03:50,00 --> 01:03:54,50 	someone gets out of a car.
FLIGHT.srt 	FLIGHT_DVS895 	01:46:04,00 --> 01:46:10,50 	he gets out of bed, and goes to a side door.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS85 	00:21:47,00 --> 00:21:52,50 	he gets a call from someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS109 	00:30:12,00 --> 00:30:16,50 	they get undressed.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS188 	00:51:24,00 --> 00:51:33,50 	she gets a text from someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS202 	00:53:37,00 --> 00:53:54,50 	she wakes and gets up groggily.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS222 	00:59:51,00 --> 00:59:56,50 	someone gets their bags.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS308 	01:21:13,00 --> 01:21:28,50 	a text from someone reads, get home okay?
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS329 	01:27:11,00 --> 01:27:16,50 	now someone gets a call from the office.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS339 	01:29:42,00 --> 01:30:01,50 	he gets a beer from his windowed refrigerator.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS84 	00:13:38,00 --> 00:13:46,50 	someone gets out in a glare of headlights, gun in hand.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS87 	00:13:49,00 --> 00:13:58,50 	he forces her down as other thugs get out of their suvs.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS116 	00:18:59,00 --> 00:19:11,50 	the heavyset thug forces someone into the back of another suv while someone gets in the front.
GREEN_ZONE.srt 	GREEN_ZONE_DVS49 	00:10:39,00 --> 00:10:43,50 	he gets off the car.
GREEN_ZONE.srt 	GREEN_ZONE_DVS79 	00:21:10,00 --> 00:21:51,50 	the bystander gets in his dusty car, keeping an eye on the group as general someone leads them through a gate.
GREEN_ZONE.srt 	GREEN_ZONE_DVS81 	00:21:59,00 --> 00:22:08,50 	they get to their feet.
GREEN_ZONE.srt 	GREEN_ZONE_DVS103 	00:26:20,00 --> 00:26:26,50 	two assigned soldiers get into the dusty sedan.
GREEN_ZONE.srt 	GREEN_ZONE_DVS115 	00:27:49,00 --> 00:28:09,50 	outside, the departing baptists get into a sedan and drive off.
GREEN_ZONE.srt 	GREEN_ZONE_DVS117 	00:28:12,00 --> 00:28:23,50 	the official shakes hands with someone, then outside, he chats with a comrade as they get into a car.
GREEN_ZONE.srt 	GREEN_ZONE_DVS157 	00:41:44,00 --> 00:41:48,50 	someone gets in a humvee.
GREEN_ZONE.srt 	GREEN_ZONE_DVS296 	01:08:11,00 --> 01:08:18,50 	he gets shot.
GREEN_ZONE.srt 	GREEN_ZONE_DVS404 	01:30:50,00 --> 01:30:56,50 	upstairs, someone rounds a corner, gets a glimpse of them, and sprints faster.
GREEN_ZONE.srt 	GREEN_ZONE_DVS440 	01:36:48,00 --> 01:37:08,50 	gets to his feet and shoots the bodyguard.
GROWN_UPS.srt 	GROWN_UPS_DVS247 	01:12:31,00 --> 01:12:38,50 	someone gets another jug from the fridge and both men guzzle their water.
HUGO.srt 	HUGO_DVS349 	00:53:33,00 --> 00:53:39,50 	he and someone step on either side of the automaton to get a better view.
IN_TIME.srt 	IN_TIME_DVS91 	00:10:02,00 --> 00:10:13,50 	hidden in a shadowy space, someone gets a firm grip on the chain.
IN_TIME.srt 	IN_TIME_DVS91 	00:10:02,00 --> 00:10:13,50 	the gangsters get out of the car and bang against doorways spaced along the long wall.
IN_TIME.srt 	IN_TIME_DVS142 	00:15:47,00 --> 00:15:53,50 	getting his bearings, he habitually checks his body clock.
IN_TIME.srt 	IN_TIME_DVS612 	01:05:33,00 --> 01:05:39,50 	they get in and someone backs away from the crowd.
IN_TIME.srt 	IN_TIME_DVS670 	01:12:38,00 --> 01:12:45,50 	drawing their guns, someone and someone get out of the truck and hurry into the vault.
IN_TIME.srt 	IN_TIME_DVS706 	01:15:43,00 --> 01:15:49,50 	the minutemen get in their car and drive past him.
IN_TIME.srt 	IN_TIME_DVS712 	01:16:03,00 --> 01:16:09,50 	someone gets out, approaches him, and aims again.
IN_TIME.srt 	IN_TIME_DVS912 	01:36:19,00 --> 01:36:23,50 	he's got an hour.
IN_TIME.srt 	IN_TIME_DVS913 	01:36:22,00 --> 01:36:29,50 	someone gets out of his car.
IN_TIME.srt 	IN_TIME_DVS974 	01:42:23,00 --> 01:42:29,50 	they get out of the car.
INSIDE_MAN.srt 	INSIDE_MAN_DVS13 	00:04:28,00 --> 00:04:33,50 	between the two front seats, someone gets up.
INSIDE_MAN.srt 	INSIDE_MAN_DVS175 	00:50:16,00 --> 00:50:37,50 	she moves a tile into a trash bag lined box, gets to her feet and removes a pair of rubber gloves.
INSIDE_MAN.srt 	INSIDE_MAN_DVS210 	00:59:05,00 --> 00:59:12,50 	someone gets in.
INSIDE_MAN.srt 	INSIDE_MAN_DVS236 	01:09:19,00 --> 01:09:29,50 	he taps her shoulder and she gets to her feet.
INSIDE_MAN.srt 	INSIDE_MAN_DVS270 	01:24:18,00 --> 01:24:25,50 	the detective gets up.
INSIDE_MAN.srt 	INSIDE_MAN_DVS377 	01:50:13,00 --> 01:50:20,50 	smirking, ms. white collects her purse and gets up.
INSIDE_MAN.srt 	INSIDE_MAN_DVS387 	01:52:04,00 --> 01:52:10,50 	as a panel gets removed from the wall, someone pushes the stack of boxes out of his way.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS96 	00:28:12,00 --> 00:28:17,50 	she gets in.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS320 	01:31:18,00 --> 01:31:35,50 	someone's arm rests along the open window, someone jogs outside, and he gets out.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS362 	01:41:43,00 --> 01:41:56,50 	later, a duffle bag gets tossed on the backseat of a car.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS425 	01:18:21,00 --> 01:18:27,50 	she gets out of the car, hugging the photo close in one arm.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS444 	01:27:50,00 --> 01:27:55,50 	she gets comfy under the covers.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS82 	00:30:39,00 --> 00:30:44,50 	she abruptly gets in the limo.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS197 	01:09:42,00 --> 01:09:46,50 	the women get massages.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS266 	01:28:29,00 --> 01:28:37,50 	she gets up and blows someone kisses.
KARATE_KID.srt 	KARATE_KID_DVS81 	00:07:03,00 --> 00:07:09,50 	it parks in front of an apartment building and the parkers get out.
KARATE_KID.srt 	KARATE_KID_DVS182 	00:15:34,00 --> 00:15:39,50 	someone gets to his feet.
KARATE_KID.srt 	KARATE_KID_DVS256 	00:22:53,00 --> 00:23:01,50 	she gets a tray and bowl for herself, then circles around behind him, with a scrutinizing gaze.
KARATE_KID.srt 	KARATE_KID_DVS311 	00:27:53,00 --> 00:28:02,50 	he starts to get a tray, then pauses.
KARATE_KID.srt 	KARATE_KID_DVS1090 	01:29:56,00 --> 01:30:21,50 	words on the screen read, get ready.
KARATE_KID.srt 	KARATE_KID_DVS1102 	01:31:27,00 --> 01:31:36,50 	as someone dashes to the car, he gets behind the wheel.
KARATE_KID.srt 	KARATE_KID_DVS1157 	01:35:42,00 --> 01:35:47,50 	you need to get home.
KARATE_KID.srt 	KARATE_KID_DVS1571 	02:07:47,00 --> 02:08:11,50 	guided by the official, someone compliantly backs off, and someone gets to his feet.
KNOCKED_UP.srt 	KNOCKED_UP_DVS60 	00:35:33,00 --> 00:35:37,50 	someone gets up.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS163 	00:38:30,00 --> 00:38:34,50 	someone gets up.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS314 	01:14:17,00 --> 01:14:22,50 	he gets on his scooter.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS292 	00:38:10,00 --> 00:38:21,50 	getting to his feet, he notices a red light flashing from a high post.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS624 	01:07:43,00 --> 01:07:49,50 	lowering the axe, someone gets down and kicks a seat.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS156 	00:55:32,00 --> 00:56:04,50 	later at a computer, someone types a-n-d-i-g-a-r-c-i-a into the google search field and gets back image results and links for the handsome dark-haired actor.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS199 	01:11:58,00 --> 01:12:04,50 	the retired cia agent gets out and marches gravely toward the house.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS208 	01:15:01,00 --> 01:15:13,50 	his eyes blink open and he gets his bearings.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS226 	01:20:29,00 --> 01:20:33,50 	he gets dizzily to his feet.
MORNING_GLORY.srt 	MORNING_GLORY_DVS63 	00:12:10,00 --> 00:12:14,50 	she gets up.
MORNING_GLORY.srt 	MORNING_GLORY_DVS75 	00:13:46,00 --> 00:13:50,50 	the two guys get out.
MORNING_GLORY.srt 	MORNING_GLORY_DVS259 	00:58:39,00 --> 00:58:43,50 	someone gets up and heads off.
