21_JUMP_STREET.srt 	21_JUMP_STREET_DVS92 	00:12:00,00 --> 00:12:07,50 	an older african-american police officer wearing a badge on one hip
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS129 	00:19:06,00 --> 00:19:12,50 	a rotund someone wears a floral dress.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS155 	00:25:26,00 --> 00:25:32,50 	the lovely asian girl wears only a towel.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS179 	00:30:56,00 --> 00:31:03,50 	someone shoots a snarky glance toward someone who wears a slack-jawed frown.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS323 	00:54:05,00 --> 00:54:10,50 	in the front row, someone wears a look of disgust.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS330 	00:55:15,00 --> 00:55:20,50 	someone wears the sheet like a toga.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS372 	00:59:23,00 --> 00:59:30,50 	in town, someone wears leggings, a new short-sleeved cardigan, and a scarf.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS399 	01:04:55,00 --> 01:05:04,50 	later in his living room, the big-bellied guard wears headphones and a track suit as he scratches on a turntable setup.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS413 	01:06:11,00 --> 01:06:19,50 	wearing a leather jacket and a loose scarf around his neck, he plucks a flower from a vase as he heads to someone's table.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS606 	01:34:57,00 --> 01:35:05,50 	someone, now wearing his own clothes, spots someone as she strides down a walkway.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS679 	01:43:38,00 --> 01:43:46,50 	a skyward view shows puffy clouds behind someone, someone, and someone who wear sunglasses and lip sync.
BLINDDATING.srt 	BLINDDATING_DVS24 	00:07:31,00 --> 00:07:38,50 	someone comes out of the house on the second floor, wearing a hooded sweatshirt.
BLINDDATING.srt 	BLINDDATING_DVS41 	00:12:31,00 --> 00:12:39,50 	now, in an office, a model human head wears sunglasses with a camera on one lens.
BLINDDATING.srt 	BLINDDATING_DVS76 	00:23:51,00 --> 00:23:57,50 	now, someone wears a dark suit.
BLINDDATING.srt 	BLINDDATING_DVS289 	01:12:13,00 --> 01:12:27,50 	wearing a peaceful gaze, she strides eagerly to his bedside, leans in and kisses his cheek.
BLINDDATING.srt 	BLINDDATING_DVS369 	01:30:54,00 --> 01:30:59,50 	wears a fuchsia pink sari.
BRUNO.srt 	BRUNO_DVS141 	00:33:48,00 --> 00:33:56,50 	wearing an african robe, someone directs someone to pick up a package shaped like an elephant tusk.
BRUNO.srt 	BRUNO_DVS188 	00:49:16,00 --> 00:49:29,50 	wearing pants, cowboy boots, and a dark tee, someone pushes a shopping cart.
BRUNO.srt 	BRUNO_DVS203 	00:54:19,00 --> 00:54:25,50 	someone wears a strap-on dildo.
BRUNO.srt 	BRUNO_DVS207 	00:55:58,00 --> 00:56:03,50 	now, someone wears a uniform wear a silk scarf.
BRUNO.srt 	BRUNO_DVS220 	01:01:31,00 --> 01:01:44,50 	wearing a silky robe.
BRUNO.srt 	BRUNO_DVS233 	01:02:53,00 --> 01:02:58,50 	someone wears a buttoned-down shirt.
BRUNO.srt 	BRUNO_DVS251 	01:07:44,00 --> 01:07:49,50 	he now wears only briefs.
BRUNO.srt 	BRUNO_DVS260 	01:14:57,00 --> 01:15:03,50 	someone enters, wearing a wedding dress with a veil obscuring his face.
BRUNO.srt 	BRUNO_DVS264 	01:15:17,00 --> 01:15:23,50 	stands beside someone wearing a white tux.
BURLESQUE.srt 	BURLESQUE_DVS82 	00:07:42,00 --> 00:07:46,50 	she wears a low-cut black unitard with tails and fuchsia lapels.
BURLESQUE.srt 	BURLESQUE_DVS101 	00:11:27,00 --> 00:11:37,50 	two dancers wear light-satin corsets with black spirals at the breasts.
BURLESQUE.srt 	BURLESQUE_DVS247 	00:35:54,00 --> 00:36:00,50 	as she runs off, someone wears a muted smile.
BURLESQUE.srt 	BURLESQUE_DVS331 	00:45:10,00 --> 00:45:16,50 	wearing a skimpy biker-themed costume, she heads toward the stage.
BURLESQUE.srt 	BURLESQUE_DVS416 	00:57:41,00 --> 00:57:49,50 	coming home, someone spies someone in the bedroom, wearing only pink panties and a matching bra.
BURLESQUE.srt 	BURLESQUE_DVS583 	01:26:34,00 --> 01:26:40,50 	he reopens the doors, wearing bright red pajamas.
BURLESQUE.srt 	BURLESQUE_DVS633 	01:35:41,00 --> 01:35:46,50 	wearing only a blanket, someone covers up.
BURLESQUE.srt 	BURLESQUE_DVS737 	01:50:39,00 --> 01:50:47,50 	now on a dark stage, a spotlight shines down on someone, who wears a sparkling outfit and her platinum wig.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS265 	00:48:15,00 --> 00:48:24,50 	wearing a red, white, and blue costume and mask, someone picks up a shield decorated like the american flag and runs onstage.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS287 	00:55:00,00 --> 00:55:06,50 	back in his own tent, someone wears his costume as he packs a bag.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS291 	00:55:47,00 --> 00:55:53,50 	wearing a helmet with the letter a on it, someone sits with someone in a plane.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS412 	01:15:00,00 --> 01:15:04,50 	they stop and stare as someone, wearing a long, dark dress, enters the bar.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS438 	01:19:21,00 --> 01:19:26,50 	later, wearing a new captain america uniform and mask, someone picks up the round shield painted with a white star inside a blue circle surrounded by red and white bands.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS671 	01:52:56,00 --> 01:53:03,50 	a goateed man wearing a black turtleneck trench coat and eye patch strides up to someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS193 	00:15:01,00 --> 00:15:07,50 	wearing an ear-to-ear grin, he paddles toward shore.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS264 	00:20:26,00 --> 00:20:31,50 	wearing a wetsuit with a billed skull-fitted hood,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS417 	00:39:17,00 --> 00:39:23,50 	someone shakes his head, wearing a slight grin on his weathered face.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS634 	01:01:37,00 --> 01:01:43,50 	now, someone and someone plunge into the water wearing diving masks, suits, and flippers.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS691 	01:07:22,00 --> 01:07:28,50 	wearing wetsuits, someone and someone paddle out on their surfboards.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS766 	01:16:25,00 --> 01:16:31,50 	glancing toward someone, someone approaches the pretty teen who wears an anguished gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS892 	01:27:11,00 --> 01:27:16,50 	squinting in the sun, his shortest friend wears a knit cap.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS899 	01:28:07,00 --> 01:28:11,50 	she wears a troubled gaze.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1074 	01:42:39,00 --> 01:42:44,50 	someone wears a proud look.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1130 	01:48:20,00 --> 01:48:24,50 	wearing only fins and board shorts.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1156 	01:49:44,00 --> 01:49:50,50 	everyone, floating on surfboards and wearing leis,
CHRONICLE.srt 	CHRONICLE_DVS73 	00:08:55,00 --> 00:09:11,50 	a guy wearing a brimmed hat steps down to the floor and confronts the cameraman.
CHRONICLE.srt 	CHRONICLE_DVS397 	01:00:16,00 --> 01:00:21,50 	wearing the pants, he puts on both rubber boots.
CHRONICLE.srt 	CHRONICLE_DVS422 	01:02:19,00 --> 01:02:25,50 	now wearing the mask again, he marches into a gas station's food mart.
CHRONICLE.srt 	CHRONICLE_DVS528 	01:14:54,00 --> 01:15:00,50 	wearing an emotional someone, someone collapses.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS49 	00:09:42,00 --> 00:09:58,50 	wearing suspenders over his t-shirt, he grabs the bottles.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS276 	01:06:50,00 --> 01:07:20,50 	someone rounds a corner wearing a dressy russet blouse and a brown cloche hat.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS359 	01:27:51,00 --> 01:27:57,50 	wearing a black vest and tie, the boxer joins his family.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS369 	01:31:19,00 --> 01:31:26,50 	they wear their suits from the press conference.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS489 	01:52:14,00 --> 01:52:29,50 	reaching the aisle, someone wears a silky blue robe, his name printed across the back arcs above a bulldog emblem.
COLOMBIANA.srt 	COLOMBIANA_DVS336 	00:29:57,00 --> 00:30:02,50 	she wears the orchid pendant.
COLOMBIANA.srt 	COLOMBIANA_DVS626 	00:59:06,00 --> 00:59:15,50 	wearing a black short sleeved leotard and a utility belt, someone pulls herself along the panels.
COLOMBIANA.srt 	COLOMBIANA_DVS777 	01:15:21,00 --> 01:15:26,50 	wearing her large sunglasses.
DEAR_JOHN.srt 	DEAR_JOHN_DVS82 	00:12:36,00 --> 00:12:50,50 	in a study, a balding man wearing a single white glove examines a coin under a magnifying glass.
DEAR_JOHN.srt 	DEAR_JOHN_DVS388 	01:00:25,00 --> 01:00:32,50 	someone carries her heels, and she wears his jacket over her dress.
DEAR_JOHN.srt 	DEAR_JOHN_DVS390 	01:00:38,00 --> 01:00:45,50 	now wearing his fatigues, someone enters the airport with someone by his side.
DEAR_JOHN.srt 	DEAR_JOHN_DVS531 	01:16:22,00 --> 01:16:30,50 	wearing his army uniform, and carrying two bags, someone mounts the steps to his dad's house.
DEAR_JOHN.srt 	DEAR_JOHN_DVS549 	01:17:39,00 --> 01:17:46,50 	the ailing man wears an oxygen mask.
DEAR_JOHN.srt 	DEAR_JOHN_DVS619 	01:24:27,00 --> 01:24:37,50 	someone's corn silk hair lies captured in a tight braid, and she wears slim-fitting breaches and riding boots.
DEAR_JOHN.srt 	DEAR_JOHN_DVS769 	01:41:23,00 --> 01:41:29,50 	he wears a button down shirt and a neatly trimmed goatee.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS134 	00:30:27,00 --> 00:30:35,50 	someone types in the address as someone comes out of the bedroom wearing the back brace.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS139 	00:31:32,00 --> 00:31:39,50 	he sees a woman wearing tight-fitting jeans and thinks he has a match.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS159 	00:37:48,00 --> 00:38:02,50 	wearing a pair of orange boxer shorts, someone picks up a piece of fruit from the coffee table and bites into it.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS177 	00:39:33,00 --> 00:39:41,50 	a woman poses with someone, who wears a bird mask.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS210 	00:51:42,00 --> 00:51:47,50 	someone wears a polo neck under a blazer.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS298 	01:14:35,00 --> 01:14:40,50 	someone still wears his goat-man outfit.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS368 	01:29:20,00 --> 01:29:27,50 	wearing a cape, orson welles-like someone marches in.
DISTRICT_9.srt 	DISTRICT_9_DVS97 	00:11:54,00 --> 00:12:03,50 	by a shack, a rifle-wielding alien wears a helmet with someone.
DISTRICT_9.srt 	DISTRICT_9_DVS168 	00:19:39,00 --> 00:19:48,50 	wearing a vest, searches through a trash pile, tossing aside unwanted items.
DISTRICT_9.srt 	DISTRICT_9_DVS347 	00:38:25,00 --> 00:38:36,50 	wearing an oxygen mask, someone glances up.
DISTRICT_9.srt 	DISTRICT_9_DVS412 	00:45:26,00 --> 00:45:36,50 	prawn someone wears a hospital gown and scrub bottoms as he races over a hill beside the highway, and darts behind the backs of two guards.
DISTRICT_9.srt 	DISTRICT_9_DVS426 	00:47:00,00 --> 00:47:10,50 	later, someone wears the stolen clothes with a blanket over them like a hooded cloak.
DISTRICT_9.srt 	DISTRICT_9_DVS595 	01:10:00,00 --> 01:10:07,50 	on a lower floor, someone wearing a gas mask
DISTRICT_9.srt 	DISTRICT_9_DVS862 	01:43:26,00 --> 01:43:31,50 	someone wears an orange jumpsuit.
EASY_A.srt 	EASY_A_DVS123 	00:39:17,00 --> 00:39:38,50 	in an outdoor breezeway, someone struts into a crowd of students wearing a black bustier with a red letter a sewn to the bust.
EASY_A.srt 	EASY_A_DVS219 	01:08:58,00 --> 01:09:06,50 	nighttime at the lobster shack, someone shares a booth with someone who wears a demure black dress.
EASY_A.srt 	EASY_A_DVS222 	01:10:32,00 --> 01:10:38,50 	wearing a plush lobster on his head, someone leads fellow servers to a table.
FLIGHT.srt 	FLIGHT_DVS43 	00:06:38,00 --> 00:06:44,50 	she wears a dress, and has a small tattoo on her shoulder.
FLIGHT.srt 	FLIGHT_DVS247 	00:52:10,00 --> 00:52:18,50 	he enters a dining area with a buffet to one side, and approaches someone, seated with a man wearing glasses.
FLIGHT.srt 	FLIGHT_DVS611 	01:27:03,00 --> 01:27:09,50 	someone leans over the cessna, still wearing his tie, his shirtsleeves rolled up.
FLIGHT.srt 	FLIGHT_DVS964 	01:54:17,00 --> 01:54:22,50 	someone strides out the room wearing sunglasses,
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS137 	00:36:42,00 --> 00:36:49,50 	at another point he wears his socks in the shower with her.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS10 	00:06:36,00 --> 00:06:41,50 	wearing scrubs his girlfriend climbs into bed.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS157 	01:27:51,00 --> 01:27:58,50 	someone exits the bathroom wearing her scrubs.
GREEN_ZONE.srt 	GREEN_ZONE_DVS152 	00:40:24,00 --> 00:40:33,50 	now our view orbits a massive bust of saddam hussein wearing a helmet.
GROWN_UPS.srt 	GROWN_UPS_DVS40 	00:09:55,00 --> 00:09:59,50 	her mother wears a hat.
GROWN_UPS.srt 	GROWN_UPS_DVS109 	00:35:37,00 --> 00:35:40,50 	someone wears stylish heels.
GROWN_UPS.srt 	GROWN_UPS_DVS119 	00:37:48,00 --> 00:37:52,50 	someone wears pantaloons.
HUGO.srt 	HUGO_DVS42 	00:04:39,00 --> 00:04:46,50 	wearing a tattered coat, shorts, and sweater, the boy creeps toward the store.
HUGO.srt 	HUGO_DVS88 	00:11:14,00 --> 00:11:20,50 	the news vendor - a rotund man wearing glasses and a beret - approaches the woman.
HUGO.srt 	HUGO_DVS154 	00:21:14,00 --> 00:21:20,50 	a mustached man wearing a bowler staggers into the room.
HUGO.srt 	HUGO_DVS174 	00:24:31,00 --> 00:24:38,50 	wearing his leg brace, the station inspector paces down a staircase and surveys the crowd.
HUGO.srt 	HUGO_DVS501 	01:13:25,00 --> 01:13:30,50 	ina photograph, people wear elaborate costumes.
HUGO.srt 	HUGO_DVS509 	01:14:46,00 --> 01:14:52,50 	a stagehand wearing a cap drops lobsters into a tank.
HUGO.srt 	HUGO_DVS511 	01:15:10,00 --> 01:15:18,50 	wearing a shiny breastplate, a young someone trots onto the set.
HUGO.srt 	HUGO_DVS530 	01:18:21,00 --> 01:18:26,50 	below, the bookseller talks with a man wearing a cap.
HUGO.srt 	HUGO_DVS568 	01:23:22,00 --> 01:23:29,50 	the train's engineer, wearing goggles and covered in soot, leans out of the engine car.
HUGO.srt 	HUGO_DVS600 	01:26:32,00 --> 01:26:40,50 	wearing leather gloves and long johns, the inspector soaks in a bathtub as he uses the phone.
HUGO.srt 	HUGO_DVS630 	01:31:24,00 --> 01:31:30,50 	it lodges in the left eye of a man wearing a mask of the moon.
HUGO.srt 	HUGO_DVS667 	01:37:08,00 --> 01:37:14,50 	wearing a bathing suit and cape, someone twirls for someone.
HUGO.srt 	HUGO_DVS668 	01:37:26,00 --> 01:37:33,50 	wearing a devil costume, someone sinks beneath the floor of the cave in a cloud of smoke.
HUGO.srt 	HUGO_DVS671 	01:37:41,00 --> 01:37:47,50 	later, actors wearing robes and
HUGO.srt 	HUGO_DVS683 	01:38:55,00 --> 01:39:00,50 	later, they surround a group of dancers wearing skeleton costumes.
HUGO.srt 	HUGO_DVS786 	01:53:55,00 --> 01:54:03,50 	wearing a tuxedo, someone sits in a crowded theatre.
HUGO.srt 	HUGO_DVS798 	01:57:02,00 --> 01:57:09,50 	on screen, a young someone wearing a top hat and smoking a cigarette
HUGO.srt 	HUGO_DVS801 	01:57:15,00 --> 01:57:20,50 	wearing a coat and tails, young someone throws a music clefs.
IN_TIME.srt 	IN_TIME_DVS290 	00:29:44,00 --> 00:29:55,50 	he stops someone who also wears a tux.
IN_TIME.srt 	IN_TIME_DVS526 	00:56:51,00 --> 00:56:58,50 	on her left arm, she wears an evening glove with its fingers cut off.
IN_TIME.srt 	IN_TIME_DVS626 	01:06:43,00 --> 01:06:48,50 	she wears a fur coat over her black dress.
INSIDE_MAN.srt 	INSIDE_MAN_DVS23 	00:05:38,00 --> 00:05:52,50 	the painter wears a dark cap and sunglasses.
INSIDE_MAN.srt 	INSIDE_MAN_DVS112 	00:33:28,00 --> 00:33:33,50 	hood lowered, he wears his mask and shades.
INSIDE_MAN.srt 	INSIDE_MAN_DVS185 	00:52:55,00 --> 00:53:12,50 	wearing a do rag and gold rings, the driver
INSIDE_MAN.srt 	INSIDE_MAN_DVS233 	01:08:45,00 --> 01:08:54,50 	someone who wears an nypd cap and jacket.
INSIDE_MAN.srt 	INSIDE_MAN_DVS378 	01:50:39,00 --> 01:50:56,50 	ms. white turns and exits wearing a satisfied smile as she buttons her black jacket.
INSIDE_MAN.srt 	INSIDE_MAN_DVS394 	01:52:50,00 --> 01:53:07,50 	in the supply room, someone wearing a yankee's cap puts on a pair of stylish sunglasses and slings the backpack over his shoulder.
INSIDE_MAN.srt 	INSIDE_MAN_DVS414 	01:59:39,00 --> 01:59:45,50 	someone heads up a staircase wearing his panama hat.
IRON_MAN_2.srt 	IRON_MAN_2_DVS25 	00:02:58,00 --> 00:03:05,50 	later wearing welding goggles, someone welds pieces of metal together.
IRON_MAN_2.srt 	IRON_MAN_2_DVS45 	00:05:54,00 --> 00:06:10,50 	behind him on the stage, young long-haired women wearing matching bikini tops and short shorts form a line and kick their legs out in unison, while pyrotechnics explode around the gigantic video image of a fluttering american flag.
IRON_MAN_2.srt 	IRON_MAN_2_DVS49 	00:06:35,00 --> 00:06:41,50 	wearing a crisp black tuxedo, someone surveys the cheering crowd.
IRON_MAN_2.srt 	IRON_MAN_2_DVS75 	00:13:42,00 --> 00:13:51,50 	a man with short-cropped black hair and wearing a dark-blue military uniform steps in.
IRON_MAN_2.srt 	IRON_MAN_2_DVS81 	00:16:01,00 --> 00:16:07,50 	in another video, a pilot wearing an armored suit crashes into the ground.
IRON_MAN_2.srt 	IRON_MAN_2_DVS82 	00:16:11,00 --> 00:16:19,50 	in the hearing room, someone tries to unplug the video screen as a video of him and the pilot wearing an armored suit plays.
IRON_MAN_2.srt 	IRON_MAN_2_DVS119 	00:23:05,00 --> 00:23:13,50 	someone, wearing protective headgear, swings at someone and misses.
IRON_MAN_2.srt 	IRON_MAN_2_DVS131 	00:24:55,00 --> 00:25:00,50 	in a photo, someone, wearing a dark bikini, lies on her side.
IRON_MAN_2.srt 	IRON_MAN_2_DVS156 	00:28:59,00 --> 00:29:11,50 	later wearing a blue car-racing uniform, someone walks through a crowd of smiling people.
IRON_MAN_2.srt 	IRON_MAN_2_DVS226 	00:42:38,00 --> 00:42:48,50 	wearing a prison uniform, a long-haired man resembling someone steps into the cell.
IRON_MAN_2.srt 	IRON_MAN_2_DVS284 	00:53:10,00 --> 00:53:17,50 	later, someone, wearing an iron man suit, dances in front of a deejay station on a stage.
IRON_MAN_2.srt 	IRON_MAN_2_DVS342 	01:01:19,00 --> 01:01:28,50 	wearing his suit without the helmet, someone eats a donut.
IRON_MAN_2.srt 	IRON_MAN_2_DVS344 	01:01:27,00 --> 01:01:36,50 	wearing a long black leather coat, goateed someone fury, a tall bald man with an eye patch over his left eye, gazes up at someone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS346 	01:02:10,00 --> 01:02:16,50 	someone, wearing a tight black leather outfit, approaches the booth.
