21_JUMP_STREET.srt 	21_JUMP_STREET_DVS490 	01:18:39,00 --> 01:18:43,50 	each carrying a cardboard box.
EASY_A.srt 	EASY_A_DVS312 	01:27:45,00 --> 01:27:51,50 	the mower carries them up a tree-lined road on a hill.
FLIGHT.srt 	FLIGHT_DVS166 	00:34:44,00 --> 00:34:52,50 	he strides through the corridors, carrying a bag in his hand, and another slung over his shoulder.
FLIGHT.srt 	FLIGHT_DVS209 	00:47:30,00 --> 00:47:37,50 	someone carries a plastic bag into the kitchen, and places it on a dining table.
FLIGHT.srt 	FLIGHT_DVS915 	01:48:54,00 --> 01:49:00,50 	someone exits an elevator, carrying three coffees.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS154 	00:41:20,00 --> 00:41:24,50 	he carries her shoes past the
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS169 	00:46:52,00 --> 00:46:58,50 	now in central park they carry sandwiches
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS181 	01:40:23,00 --> 01:40:28,50 	they carry out the mattress.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS216 	00:35:00,00 --> 00:35:40,50 	a bearded man exits an suv and his men carry out two military crates.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS607 	01:26:46,00 --> 01:26:52,50 	ghost rider carries the boy to his mother.
GROWN_UPS.srt 	GROWN_UPS_DVS87 	00:26:20,00 --> 00:26:25,50 	he carries his sons out.
GROWN_UPS.srt 	GROWN_UPS_DVS107 	00:34:43,00 --> 00:34:47,50 	someone carries a shoebox.
GROWN_UPS.srt 	GROWN_UPS_DVS129 	00:40:44,00 --> 00:40:51,50 	the island, someone carries a bucket of kfc and someone totes a boom box.
HUGO.srt 	HUGO_DVS160 	00:21:55,00 --> 00:22:00,50 	later, someone carries the automaton.
HUGO.srt 	HUGO_DVS505 	01:14:32,00 --> 01:14:40,50 	beyond slowly swimming fish, a mermaid with hair flowing over her shoulders carries a staff.
HUGO.srt 	HUGO_DVS517 	01:15:45,00 --> 01:15:57,50 	the mermaid carrying a staff strolls past the three women.
HUGO.srt 	HUGO_DVS609 	01:27:39,00 --> 01:27:45,50 	carrying cases, someone and someone step inside.
HUGO.srt 	HUGO_DVS778 	01:53:03,00 --> 01:53:09,50 	the inspector releases someone who carries the automaton to someone.
INSIDE_MAN.srt 	INSIDE_MAN_DVS147 	00:45:32,00 --> 00:45:35,50 	officers carry boxes.
INSIDE_MAN.srt 	INSIDE_MAN_DVS182 	00:52:28,00 --> 00:52:41,50 	someone enters carrying a plate of pizza and a bottle of water.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS25 	00:06:56,00 --> 00:07:28,50 	she nibbles a piece of food from a plate as she carries it to the sink.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS245 	01:10:25,00 --> 01:10:29,50 	someone carries in someone's bag as someone
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS263 	01:15:19,00 --> 01:15:27,50 	later, someone saunters to her front door carrying a gift.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS364 	01:07:53,00 --> 01:07:57,50 	the copter carries him off.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS44 	00:05:15,00 --> 00:05:20,50 	someone enters, carrying a large wicker basket.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS456 	01:29:03,00 --> 01:29:11,50 	now, as someone carries a paper bag to work, the bottom breaks, and the dessert crashes to the ground.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS521 	01:43:04,00 --> 01:43:10,50 	at home, someone carries a stack of newspapers upstairs.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS526 	01:44:12,00 --> 01:44:19,50 	now a shirtless someone carries someone over to the bed, and they flop onto it.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS529 	01:44:51,00 --> 01:44:58,50 	someone carries in two full martini glasses and sits with him on the bed.
KARATE_KID.srt 	KARATE_KID_DVS278 	00:25:04,00 --> 00:25:10,50 	someone carries a toolbox to the apartment building's entrance.
KARATE_KID.srt 	KARATE_KID_DVS647 	00:54:52,00 --> 00:55:03,50 	someone carries a skateboard under one arm, and races down the stairs in his apartment building.
KARATE_KID.srt 	KARATE_KID_DVS1426 	01:55:20,00 --> 01:55:28,50 	his opponent's teammates carry their peer off the mat.
KARATE_KID.srt 	KARATE_KID_DVS1638 	02:13:06,00 --> 02:13:11,50 	someone carries it to his opponent,
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS89 	00:29:08,00 --> 00:29:13,50 	spots someone carrying a crate.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS181 	01:05:20,00 --> 01:05:27,50 	over the pristine white sand, someone carries the device about 100 yards from the pool.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS255 	01:30:30,00 --> 01:30:39,50 	someone carries the primate to the top of a dune.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS50 	00:15:19,00 --> 00:15:26,50 	now someone carries over a flat screen tv.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS66 	00:05:14,00 --> 00:05:18,50 	someone, she carries a boy.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS319 	00:39:56,00 --> 00:40:01,50 	the buddhist struggles to free a lifeboat carrying the cook.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS335 	00:40:59,00 --> 00:41:07,50 	it carries him past the shouting men at the edge of the ship's deck.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS336 	00:41:05,00 --> 00:41:13,50 	the lifeboat carries someone through the wreckage.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS350 	00:42:25,00 --> 00:42:33,50 	a wave carries the beast to the lifeboat's rim.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS366 	00:44:06,00 --> 00:44:11,50 	another carries him to the boat's rim.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS376 	00:45:02,00 --> 00:45:10,50 	we drift up and away from the boy as the lifeboat carries him over the ship's watery grave.
MORNING_GLORY.srt 	MORNING_GLORY_DVS271 	01:00:33,00 --> 01:00:38,50 	he carries her into his bedroom.
MORNING_GLORY.srt 	MORNING_GLORY_DVS366 	01:20:44,00 --> 01:20:49,50 	she carries her plate away.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS92 	00:13:41,00 --> 00:13:51,50 	he sours and carries the penguin away.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS171 	00:38:17,00 --> 00:38:24,50 	outside, someone carries a bucket into the barn.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS222 	00:46:43,00 --> 00:46:49,50 	someone and someone carry a few
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	they share a loving kiss and he carries her toward the house.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS292 	01:04:21,00 --> 01:04:27,50 	it carries them
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS299 	00:53:53,00 --> 00:53:58,50 	he carries them over to someone and someone,
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS312 	00:56:22,00 --> 00:56:27,50 	someone carries someone inside,
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS262 	01:02:07,00 --> 01:02:12,50 	someone carries him off under his arm.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS356 	01:26:31,00 --> 01:26:41,50 	now in the backyard, someone and someone carry a shoebox decorated with shiny stickers and the name someone written in green glitter paint.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS423 	01:40:32,00 --> 01:40:40,50 	someone carries the bolt in one hand and his sword in the other as he lands on the observation deck.
PROMETHEUS.srt 	PROMETHEUS_DVS434 	00:44:12,00 --> 00:44:23,50 	the clustered trio bobs and bounces as the line carries them through the harsh wind and flying shards.
PROMETHEUS.srt 	PROMETHEUS_DVS455 	00:48:14,00 --> 00:48:21,50 	as someone activates a conveyor belt, carrying the head back to the containment chamber,
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS96 	00:24:52,00 --> 00:25:00,50 	they each carry camp supplies.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS97 	00:24:58,00 --> 00:25:07,50 	men carry long bows.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS135 	00:35:04,00 --> 00:35:15,50 	he remembers a soldier carrying the boy away, then
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS261 	01:00:17,00 --> 01:00:26,50 	now, servants hurry out of the kitchen carrying bowls of food into the banquet hall.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS522 	02:10:20,00 --> 02:10:26,50 	someone carries a deer over his shoulders.
SALT.srt 	SALT_DVS154 	00:26:54,00 --> 00:27:17,50 	she carries them in her hands as she searches the apartment.
SALT.srt 	SALT_DVS262 	00:46:24,00 --> 00:46:29,50 	the military dress uniforms carry a flag draped casket.
SALT.srt 	SALT_DVS441 	01:15:46,00 --> 01:15:57,50 	with them, a military aide carries a briefcase, its handle tethered to his wrist.
SALT.srt 	SALT_DVS556 	01:35:52,00 --> 01:36:15,50 	her feet carry her over the forest snowy ground.
SANCTUM.srt 	SANCTUM_DVS32 	00:07:35,00 --> 00:07:44,50 	men carry oxygen tanks in the opposite direction.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS585 	00:39:06,00 --> 00:39:12,50 	now, someone carries a tray of food through a darkened hall.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS782 	00:52:27,00 --> 00:52:33,50 	four men carry a red palanquin litter along the sidewalk.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS821 	00:54:37,00 --> 00:54:43,50 	the burly man carries a leafy vegetable across the yard.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS891 	00:58:23,00 --> 00:58:28,50 	he carries the resistant noblewoman out.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS893 	00:58:30,00 --> 00:58:35,50 	the cart carries his family and many belongings.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS935 	01:00:42,00 --> 01:00:47,50 	a few more dart past, carried by the wind.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1206 	01:21:18,00 --> 01:21:23,50 	she bundles up the fans and carries them away.
SOUL_SURFER.srt 	SOUL_SURFER_DVS42 	00:14:06,00 --> 00:14:10,50 	someone carries over a box.
SOUL_SURFER.srt 	SOUL_SURFER_DVS131 	00:42:01,00 --> 00:42:06,50 	later, she carries a brown paper bag to her bicycle
SOUL_SURFER.srt 	SOUL_SURFER_DVS148 	00:46:00,00 --> 00:46:05,50 	her brother carries someone's shark-bitten surfboard under one arm.
SOUL_SURFER.srt 	SOUL_SURFER_DVS165 	00:49:25,00 --> 00:49:30,50 	later, she carries it out.
SOUL_SURFER.srt 	SOUL_SURFER_DVS233 	01:11:53,00 --> 01:12:08,50 	a desolate man carries a water jug like a suitcase.
SOUL_SURFER.srt 	SOUL_SURFER_DVS256 	01:16:13,00 --> 01:16:21,50 	someone carries the board to the water's edge.
SOUL_SURFER.srt 	SOUL_SURFER_DVS263 	01:17:03,00 --> 01:17:09,50 	as someone carries the board.
SPARKLE_2012.srt 	SPARKLE_2012_DVS501 	01:20:57,00 --> 01:21:07,50 	outside, two uniformed men carry a body-bag from the house, past policemen and parked patrol cars with flashing blue lights.
SUPER_8.srt 	SUPER_8_DVS155 	00:24:33,00 --> 00:24:37,50 	some carry assault rifles.
SUPER_8.srt 	SUPER_8_DVS191 	00:31:55,00 --> 00:32:01,50 	someone carries off someone's tripod and camera.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS353 	00:54:01,00 --> 00:54:05,50 	the wind carries him away.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS134 	00:26:59,00 --> 00:27:06,50 	someone's four-inch stiletto heels carry her out to a drop-off area.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS142 	00:27:55,00 --> 00:28:01,50 	she slaps at his back as he carries her to his car.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS690 	01:16:22,00 --> 01:16:29,50 	someone carries a takeout bag and two coffees up a stairwell.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS10 	00:06:10,00 --> 00:06:20,50 	someone trots alongside a brick wall as he carries a backpack over one shoulder.
THE_VOW.srt 	THE_VOW_DVS409 	00:57:01,00 --> 00:57:06,50 	someone carries two bags out.
THE_VOW.srt 	THE_VOW_DVS619 	01:24:50,00 --> 01:24:57,50 	the cats paws rest on someones shoulder, as he carries the animal inside.
THE_WATCH.srt 	THE_WATCH_DVS307 	00:54:25,00 --> 00:54:32,50 	the alien leaps onto a wall, then onto another, carrying someone along.
THOR.srt 	THOR_DVS125 	00:18:19,00 --> 00:18:23,50 	carrying a thick ax on one shoulder,
THOR.srt 	THOR_DVS223 	00:29:55,00 --> 00:30:05,50 	carrying flashlights, they scramble out of the truck.
THOR.srt 	THOR_DVS442 	01:11:31,00 --> 01:11:36,50 	outside, someone carries someone over one shoulder.
THOR.srt 	THOR_DVS480 	01:18:22,00 --> 01:18:30,50 	on earth, townspeople gawk at someone's friends as they stride up the middle of a street while carrying exposed weapons.
THOR.srt 	THOR_DVS668 	01:39:54,00 --> 01:39:59,50 	the explosion carries someone and someone high into the air.
TRUE_GRIT.srt 	TRUE_GRIT_DVS388 	01:18:41,00 --> 01:18:50,50 	someone carries the wooden bucket through the wintry brush, her oversized coat belted up tightly around her waist.
TRUE_GRIT.srt 	TRUE_GRIT_DVS564 	01:39:21,00 --> 01:39:26,50 	as someone carries her away across the plain.
TRUE_GRIT.srt 	TRUE_GRIT_DVS566 	01:39:38,00 --> 01:39:43,50 	someone carry him.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS220 	00:19:57,00 --> 00:20:04,50 	someone laughs as someone heaves his wife over his shoulder and carries her away.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS354 	00:41:53,00 --> 00:41:59,50 	he carries drinks.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS358 	00:57:53,00 --> 00:58:03,50 	someone searches with someone, someone, and someone, who carry tranquilizer guns.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS207 	00:26:01,00 --> 00:26:08,50 	now at home, she carries a bottle of wine and a stack of keepsake books.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS273 	00:39:33,00 --> 00:39:39,50 	someone carries his groceries further inside.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS390 	00:32:42,00 --> 00:32:49,50 	ahead of the ship, three motorized inflatable boats carry armed soldiers toward the yacht.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1201 	01:47:19,00 --> 01:47:25,50 	the young mutant carries his friend over the water.
ZOMBIELAND.srt 	ZOMBIELAND_DVS472 	00:55:17,00 --> 00:55:23,50 	they carry someone wrapped in a blanket across a balcony,
