21_JUMP_STREET.srt 	21_JUMP_STREET_DVS46 	00:04:50,00 --> 00:04:55,50 	he proudly shows his score, a c-.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS127 	00:15:16,00 --> 00:15:20,50 	he shows a modified rifle.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS150 	00:18:43,00 --> 00:18:49,50 	a mirror shows someone a shadow with no one before it.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS153 	00:19:05,00 --> 00:19:11,50 	later, he shows a gallery of images.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS155 	00:19:26,00 --> 00:19:30,50 	an image shows tribal lands.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS166 	00:22:18,00 --> 00:22:23,50 	she shows a list written on a card.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS185 	00:25:14,00 --> 00:25:29,50 	nearby, a naked man hanging upside down shows no sign of life.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS277 	00:39:39,00 --> 00:39:51,50 	an aerial view shows the herd crossing a riverside field.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS374 	00:52:55,00 --> 00:53:02,50 	on either side, wooden shacks show no sign of inhabitance.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS527 	01:14:26,00 --> 01:14:30,50 	he shows the utensil.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS681 	01:37:23,00 --> 01:37:32,50 	our view draws back from the screen of a smartphone as a live news report shows the helicopter touching down.
BAD_TEACHER.srt 	BAD_TEACHER_DVS65 	00:19:42,00 --> 00:19:52,50 	he shows her a certificate with a dolphin photo.
BAD_TEACHER.srt 	BAD_TEACHER_DVS111 	00:30:21,00 --> 00:30:26,50 	she shows a container.
BAD_TEACHER.srt 	BAD_TEACHER_DVS247 	01:07:32,00 --> 01:07:47,50 	a picture of someone shows on the phone and indicates a connected call.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS243 	00:40:26,00 --> 00:40:31,50 	a framed photo shows someone with someone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS310 	00:50:32,00 --> 00:50:39,50 	outside a public high school, someone shows someone's cd to passing students.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS461 	01:12:35,00 --> 01:12:40,50 	a montage shows their game play.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS483 	01:14:29,00 --> 01:14:34,50 	someone shows someone her studio.
BLINDDATING.srt 	BLINDDATING_DVS122 	00:33:04,00 --> 00:33:11,50 	behind her back, someone shows a picture of a sexual pose.
BLINDDATING.srt 	BLINDDATING_DVS285 	01:11:18,00 --> 01:11:35,50 	a microscopic view shows blood flow along a y-shaped pathway.
BLINDDATING.srt 	BLINDDATING_DVS292 	01:12:44,00 --> 01:12:51,50 	a monitor shows a transmitter fitted in to someone's temple.
BLINDDATING.srt 	BLINDDATING_DVS296 	01:13:27,00 --> 01:13:33,50 	a flash shows black and white shapes.
BLINDDATING.srt 	BLINDDATING_DVS329 	01:18:21,00 --> 01:18:27,50 	now, someone's parents show their daughter a card.
BRUNO.srt 	BRUNO_DVS62 	00:12:43,00 --> 00:12:46,50 	it shows an smart car in the street.
BRUNO.srt 	BRUNO_DVS87 	00:19:03,00 --> 00:19:07,50 	he shows an ultrasound.
BRUNO.srt 	BRUNO_DVS123 	00:28:36,00 --> 00:28:41,50 	a globe shows the middle east.
BRUNO.srt 	BRUNO_DVS155 	00:41:44,00 --> 00:41:48,50 	another shows baby o.j.-
BRUNO.srt 	BRUNO_DVS157 	00:43:28,00 --> 00:43:44,50 	a flashback shows the cardboard box arriving at the baggage claim carousel.
BRUNO.srt 	BRUNO_DVS191 	00:49:55,00 --> 00:50:01,50 	tvs in the store window, show celebrities on red carpets.
BRUNO.srt 	BRUNO_DVS220 	01:01:31,00 --> 01:01:44,50 	now, a time appears - 2:23 a.m. a green-hued night-vision vision shows four tents glows from within.
BURLESQUE.srt 	BURLESQUE_DVS36 	00:03:55,00 --> 00:04:08,50 	other views show the glitzy athletic dancers in unison, then the blonde rocking out in someone's empty bar.
BURLESQUE.srt 	BURLESQUE_DVS41 	00:04:32,00 --> 00:04:39,50 	the blonde gazes fondly at the photo, which shows the brunette woman cradling a young girl.
BURLESQUE.srt 	BURLESQUE_DVS70 	00:06:22,00 --> 00:06:29,50 	it shows a pixie-faced blue-eyed brunette and reads, the best view on the sunset strip.
BURLESQUE.srt 	BURLESQUE_DVS107 	00:13:55,00 --> 00:13:59,50 	she shows her nails.
BURLESQUE.srt 	BURLESQUE_DVS270 	00:37:59,00 --> 00:38:03,50 	it shows a glamorous burlesque dancer.
BURLESQUE.srt 	BURLESQUE_DVS439 	01:00:38,00 --> 01:00:44,50 	she shows an engagement ring.
BURLESQUE.srt 	BURLESQUE_DVS507 	01:10:17,00 --> 01:10:22,50 	the photo shows someone with coco and another dancer.
BURLESQUE.srt 	BURLESQUE_DVS736 	01:50:36,00 --> 01:50:42,50 	the title reads, show me how you burlesque, by someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS344 	00:32:12,00 --> 00:32:19,50 	in the window glass, a reflection shows blond passing something off to two of thuggish bullies.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS395 	00:37:03,00 --> 00:37:07,50 	one shows him on skis in the snow.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS936 	01:31:41,00 --> 01:31:47,50 	he shows someone a surfing magazine exposing the existence of mavericks.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1127 	01:48:13,00 --> 01:48:18,50 	a photo shows someone and someone together.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1158 	01:49:49,00 --> 01:49:55,50 	an aerial view shows their multi-colored surfboards in a circle.
CHRONICLE.srt 	CHRONICLE_DVS28 	00:03:45,00 --> 00:03:51,50 	campaign posters show a smiling young man.
CHRONICLE.srt 	CHRONICLE_DVS44 	00:05:06,00 --> 00:05:11,50 	the mirror shows him peering through the eyepiece.
CHRONICLE.srt 	CHRONICLE_DVS102 	00:14:13,00 --> 00:14:21,50 	the camera's view jostles, showing the illuminated crystalline sunburst, then goes black.
CHRONICLE.srt 	CHRONICLE_DVS392 	00:59:34,00 --> 00:59:40,50 	now, a crooked view shows a pharmacists nametag.
CHRONICLE.srt 	CHRONICLE_DVS404 	01:00:42,00 --> 01:00:48,50 	only his eyes show behind the curved window on the face shield.
CHRONICLE.srt 	CHRONICLE_DVS426 	01:02:40,00 --> 01:02:47,50 	the security footage shows the clerk hopping over his counter with a shotgun.
CHRONICLE.srt 	CHRONICLE_DVS429 	01:02:52,00 --> 01:03:01,50 	security footage shows the gun flying from the clerk's grasp and discharging into a propane tank.
CHRONICLE.srt 	CHRONICLE_DVS444 	01:05:16,00 --> 01:05:22,50 	the surveillance camera shows him leaning over someone and jabbing a finger at him.
CHRONICLE.srt 	CHRONICLE_DVS492 	01:11:01,00 --> 01:11:09,50 	a bank's black and white security footage shows them smashing through a wall in its lobby.
CHRONICLE.srt 	CHRONICLE_DVS512 	01:13:13,00 --> 01:13:20,50 	the police chopper's camera shows the boys landing in a plaza near a statue.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS131 	00:28:54,00 --> 00:29:03,50 	view shows him choose another.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS158 	00:34:31,00 --> 00:34:45,50 	a billboard shows a rosy-cheeked lady smiling over her steering wheel next to a chipper dog.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS257 	01:03:17,00 --> 01:03:26,50 	motioning someone aside, someone shows him a sports page headline.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS323 	01:20:42,00 --> 01:21:11,50 	quick flashes show someone frowning and the past due notice on the milk bottle.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS369 	01:31:19,00 --> 01:31:26,50 	later, a woman shows someone and someone into an office.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS387 	01:34:24,00 --> 01:34:50,50 	the footage shows the referee checking the downed fighter and his corner men rushing in.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS387 	01:34:24,00 --> 01:34:50,50 	the footage shows baer's trainer throwing a towel over the slugger's shoulder.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS460 	01:47:54,00 --> 01:47:59,50 	an overhead view shows people crowding through the stadium entryway.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS577 	02:16:31,00 --> 02:16:35,50 	it shows a packed arena.
COLOMBIANA.srt 	COLOMBIANA_DVS83 	00:05:58,00 --> 00:06:01,50 	he shows the chip.
COLOMBIANA.srt 	COLOMBIANA_DVS185 	00:16:11,00 --> 00:16:19,50 	a view down a chimney shows someone huddled at the bottom, rocking slightly with her hand clapped over her mouth.
COLOMBIANA.srt 	COLOMBIANA_DVS373 	00:33:41,00 --> 00:33:49,50 	he sets it by a monitor showing a view of a shadowy wall, then obliviously picks up his newspaper again.
COLOMBIANA.srt 	COLOMBIANA_DVS417 	00:36:49,00 --> 00:36:57,50 	a monitor shows someone standing at the door to the secure cell block with his face hidden by his arshal's cap.
COLOMBIANA.srt 	COLOMBIANA_DVS484 	00:42:58,00 --> 00:43:04,50 	glass doors behind her show a bus parked at a curb.
COLOMBIANA.srt 	COLOMBIANA_DVS503 	00:45:06,00 --> 00:45:13,50 	someone goes to someone and shows a newspaper covering someone's death.
COLOMBIANA.srt 	COLOMBIANA_DVS580 	00:52:55,00 --> 00:53:02,50 	someone shows a magazine cover featuring a portly bald man.
COLOMBIANA.srt 	COLOMBIANA_DVS583 	00:53:32,00 --> 00:53:40,50 	an article on someone rizzo's death shows a photo of the orchid design on his chest.
COLOMBIANA.srt 	COLOMBIANA_DVS598 	00:56:30,00 --> 00:56:34,50 	she shows a steak.
COLOMBIANA.srt 	COLOMBIANA_DVS624 	00:58:58,00 --> 00:59:05,50 	a view through the pool's glass panels shows a shark gliding through the pale blue water.
COLOMBIANA.srt 	COLOMBIANA_DVS694 	01:05:26,00 --> 01:05:32,50 	two clips show someone at the police station, her face obscured.
COLOMBIANA.srt 	COLOMBIANA_DVS757 	01:13:18,00 --> 01:13:22,50 	he shows the photo on his cell.
COLOMBIANA.srt 	COLOMBIANA_DVS808 	01:18:28,00 --> 01:18:35,50 	a surveillance feed shows the swat truck arriving outside.
COLOMBIANA.srt 	COLOMBIANA_DVS914 	01:27:03,00 --> 01:27:07,50 	then shows a photo on a cellphone.
COLOMBIANA.srt 	COLOMBIANA_DVS917 	01:27:43,00 --> 01:27:49,50 	it shows agent someone with his wife and two young children.
COLOMBIANA.srt 	COLOMBIANA_DVS985 	01:34:24,00 --> 01:34:30,50 	a beefy gunman shows him a grenade and the bearded gangster nods.
COLOMBIANA.srt 	COLOMBIANA_DVS1071 	01:40:52,00 --> 01:40:57,50 	a view from outside shows the van shaking.
DEAR_JOHN.srt 	DEAR_JOHN_DVS224 	00:34:48,00 --> 00:34:58,50 	its long side window shows mr.
DEAR_JOHN.srt 	DEAR_JOHN_DVS389 	01:00:29,00 --> 01:00:39,50 	a wider view shows warm sunlight glinting through spanish moss on a tree, as the couple embraces in front of the stables.
DEAR_JOHN.srt 	DEAR_JOHN_DVS427 	01:03:56,00 --> 01:04:03,50 	a close-up shows her pen gracefully filling a page with elegant cursive.
DEAR_JOHN.srt 	DEAR_JOHN_DVS432 	01:04:29,00 --> 01:04:35,50 	now, a close-up shows a smooth cursive signature.
DEAR_JOHN.srt 	DEAR_JOHN_DVS644 	01:27:33,00 --> 01:27:38,50 	one photograph shows someone in a wedding dress.
DEAR_JOHN.srt 	DEAR_JOHN_DVS770 	01:41:26,00 --> 01:41:33,50 	a view through a cafe window shows someone seated at a table by herself.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS244 	00:59:50,00 --> 00:59:56,50 	the first shows two mice getting married.
DISTRICT_9.srt 	DISTRICT_9_DVS40 	00:05:24,00 --> 00:05:29,50 	showing a police officer.
DISTRICT_9.srt 	DISTRICT_9_DVS183 	00:21:15,00 --> 00:21:25,50 	a helicopter view outside shows someone's team approaching their shack.
DISTRICT_9.srt 	DISTRICT_9_DVS350 	00:38:42,00 --> 00:38:56,50 	four security cameras show fast-motion footage of someone getting worked on.
DISTRICT_9.srt 	DISTRICT_9_DVS358 	00:39:37,00 --> 00:39:47,50 	he shows a machine gun-like alien weapon.
DISTRICT_9.srt 	DISTRICT_9_DVS552 	01:04:59,00 --> 01:05:03,50 	he shows someone with the alien.
DISTRICT_9.srt 	DISTRICT_9_DVS850 	01:40:47,00 --> 01:40:53,50 	it shows a saucer-like jet at its perimeter.
EASY_A.srt 	EASY_A_DVS34 	00:08:33,00 --> 00:08:37,50 	he shows a title.
EASY_A.srt 	EASY_A_DVS151 	00:48:06,00 --> 00:48:12,50 	someone shows another page to her webcam.
EASY_A.srt 	EASY_A_DVS162 	00:52:44,00 --> 00:52:48,50 	she shows a plaque.
EASY_A.srt 	EASY_A_DVS269 	01:21:19,00 --> 01:21:23,50 	someone shows her scarf.
EASY_A.srt 	EASY_A_DVS272 	01:22:07,00 --> 01:22:12,50 	someone shows a glittery sign to her webcam.
EASY_A.srt 	EASY_A_DVS290 	01:26:07,00 --> 01:26:13,50 	the webcast shows her grin and trod out the door.
FLIGHT.srt 	FLIGHT_DVS79 	00:15:43,00 --> 00:15:49,50 	in someone's apartment, framed photographs on the table show a younger, smiling someone with her mother.
FLIGHT.srt 	FLIGHT_DVS142 	00:26:45,00 --> 00:26:54,50 	on tv, cell phone footage shows the descent of the plane, as it swerves and slices off the church steeple.
FLIGHT.srt 	FLIGHT_DVS211 	00:47:41,00 --> 00:47:47,50 	it shows 127 voice messages.
FLIGHT.srt 	FLIGHT_DVS892 	01:45:21,00 --> 01:45:27,50 	the clock shows 2:08 a.m. as he hangs a suit in a wardrobe.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS79 	00:20:03,00 --> 00:20:10,50 	he shows her a web video of a woman dunking her breasts in cake batter.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS80 	00:20:12,00 --> 00:20:17,50 	another shows the time square flash mob.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS132 	00:35:47,00 --> 00:35:51,50 	he shows his own tattoo.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS133 	00:36:00,00 --> 00:36:07,50 	a series of images show someone and someone having sex on numerous occasions.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS145 	00:38:07,00 --> 00:38:13,50 	the doorway shows one of someone's legs jerking upward.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS189 	00:51:43,00 --> 00:51:49,50 	someone gets a photo message showing someone with someone.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS202 	00:53:37,00 --> 00:53:54,50 	the display shows someone's photo and she
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS290 	01:16:58,00 --> 01:17:03,50 	later a newscast shows someone.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS42 	00:27:18,00 --> 00:27:23,50 	his tv shows a hoop-rolling match.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS49 	00:30:57,00 --> 00:31:03,50 	it shows a petite blonde surgeon.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS50 	00:31:49,00 --> 00:31:55,50 	the rocker's cell shows someone vomiting.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS51 	00:31:53,00 --> 00:31:57,50 	other photos show naples.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS72 	00:43:59,00 --> 00:44:08,50 	her cell shows a photo of someone.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS74 	00:44:23,00 --> 00:44:30,50 	later, portraits show someone and someone.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS134 	01:20:26,00 --> 01:20:33,50 	a countdown shows four hours until the concert.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS159 	01:28:04,00 --> 01:28:09,50 	a view from behind someone shows his bare chubby rear.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS66 	00:11:05,00 --> 00:11:10,50 	someone shows the man's wallet to someone.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS69 	00:11:20,00 --> 00:11:27,50 	in the hatchback, someone shows someone the businessman's wedding ring.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS577 	01:23:32,00 --> 01:23:58,50 	someone's side mirrors show ghost rider gaining.
GREEN_ZONE.srt 	GREEN_ZONE_DVS161 	00:42:46,00 --> 00:42:50,50 	it shows a road leading to an archway.
GREEN_ZONE.srt 	GREEN_ZONE_DVS227 	00:56:27,00 --> 00:56:42,50 	he shows the sergeant.
GREEN_ZONE.srt 	GREEN_ZONE_DVS319 	01:11:19,00 --> 01:11:25,50 	someone eyes a large screen showing president bush.
GREEN_ZONE.srt 	GREEN_ZONE_DVS323 	01:12:25,00 --> 01:12:38,50 	a bar highlights the words, met-delta on a list and a satellite map shows a moving icon.
GREEN_ZONE.srt 	GREEN_ZONE_DVS368 	01:25:06,00 --> 01:25:17,50 	a green night vision view shows them clearly.
GREEN_ZONE.srt 	GREEN_ZONE_DVS425 	01:33:52,00 --> 01:33:58,50 	across a courtyard, they show up on the chopper's monitor.
GREEN_ZONE.srt 	GREEN_ZONE_DVS452 	01:39:15,00 --> 01:39:45,50 	key phrases show as he types - under the auspices of the office of, capricious at best and at worst, intentional distortions and false assertions of high ranking officials, spanning all four mobile exploitations, total mission failure, unavoidable suspicion, manufactured intelligence, evidence that a senior civilian, knowingly promoted.
GREEN_ZONE.srt 	GREEN_ZONE_DVS476 	01:44:47,00 --> 01:44:54,50 	an aerial view of the parched landscape shows the convoy churning up dust on the
GROWN_UPS.srt 	GROWN_UPS_DVS20 	00:06:13,00 --> 00:06:23,50 	at another house a photo shows the five boys with their coach, outside, a husky guy plays with two kids in an above ground pool.
IN_TIME.srt 	IN_TIME_DVS42 	00:04:51,00 --> 00:04:58,50 	now an inky black body clock shows all zeros on a dead man's arm.
IN_TIME.srt 	IN_TIME_DVS164 	00:17:33,00 --> 00:17:37,50 	he shows his clock.
IN_TIME.srt 	IN_TIME_DVS211 	00:22:07,00 --> 00:22:14,50 	a wide view shows the young man hunched over his mother's body in the barren street,
IN_TIME.srt 	IN_TIME_DVS271 	00:27:50,00 --> 00:27:56,50 	he checks his clock which shows over 105 years.
IN_TIME.srt 	IN_TIME_DVS274 	00:28:04,00 --> 00:28:12,50 	later, a view through the hotel restaurant's window shows someone eating alone.
IN_TIME.srt 	IN_TIME_DVS296 	00:30:25,00 --> 00:30:31,50 	a cube at its center shows 600 years in the pot.
IN_TIME.srt 	IN_TIME_DVS309 	00:32:08,00 --> 00:32:14,50 	his clock shows over 9000 years.
IN_TIME.srt 	IN_TIME_DVS440 	00:47:19,00 --> 00:47:25,50 	someone checks his body clock which shows an hour and ten minutes.
IN_TIME.srt 	IN_TIME_DVS553 	00:59:36,00 --> 00:59:41,50 	a flashback shows her in bed.
IN_TIME.srt 	IN_TIME_DVS719 	01:16:50,00 --> 01:16:59,50 	someone shows a hand of cards.
IN_TIME.srt 	IN_TIME_DVS720 	01:17:02,00 --> 01:17:06,50 	he shows his hand.
IN_TIME.srt 	IN_TIME_DVS755 	01:19:54,00 --> 01:20:00,50 	his side mirror shows someone sprinting toward the bus.
IN_TIME.srt 	IN_TIME_DVS762 	01:20:39,00 --> 01:20:42,50 	he shows his clock.
IN_TIME.srt 	IN_TIME_DVS807 	01:25:52,00 --> 01:25:59,50 	he rolls up his sleeve and lays his arm on the table, showing his clock.
IN_TIME.srt 	IN_TIME_DVS925 	01:37:37,00 --> 01:37:43,50 	a wide view shows someone and someone running on cracked pavement.
IN_TIME.srt 	IN_TIME_DVS936 	01:38:51,00 --> 01:38:57,50 	someone's clock shows 1 minute, 26 seconds.
IN_TIME.srt 	IN_TIME_DVS946 	01:39:38,00 --> 01:39:42,50 	his clock shows 45 seconds.
IN_TIME.srt 	IN_TIME_DVS970 	01:42:00,00 --> 01:42:05,50 	now, a news report shows the same images.
IN_TIME.srt 	IN_TIME_DVS971 	01:42:12,00 --> 01:42:23,50 	a wider view shows the news report on a television in a car's console.
INSIDE_MAN.srt 	INSIDE_MAN_DVS11 	00:03:51,00 --> 00:03:55,50 	it shows a statue of a cow.
INSIDE_MAN.srt 	INSIDE_MAN_DVS42 	00:11:18,00 --> 00:11:23,50 	it shows police cars surrounding the bank.
INSIDE_MAN.srt 	INSIDE_MAN_DVS66 	00:17:58,00 --> 00:18:13,50 	a ripple of glass window shows someone striking a pensive pose.
INSIDE_MAN.srt 	INSIDE_MAN_DVS119 	00:33:56,00 --> 00:34:03,50 	nine security feeds show the bank.
INSIDE_MAN.srt 	INSIDE_MAN_DVS120 	00:34:03,00 --> 00:34:11,50 	rewound footage of the lobby shows someone at the bank slip kiosk.
INSIDE_MAN.srt 	INSIDE_MAN_DVS131 	00:38:20,00 --> 00:38:28,50 	news footage shows an asian reporter outside the bank.
INSIDE_MAN.srt 	INSIDE_MAN_DVS136 	00:41:51,00 --> 00:41:58,50 	someone shows mr.
INSIDE_MAN.srt 	INSIDE_MAN_DVS241 	01:11:34,00 --> 01:11:39,50 	someone shows her the manilla envelope.
INSIDE_MAN.srt 	INSIDE_MAN_DVS248 	01:16:25,00 --> 01:16:32,50 	they show the jewish man snapshots of someone and the lanky guy.
INSIDE_MAN.srt 	INSIDE_MAN_DVS412 	01:58:55,00 --> 01:59:02,50 	someone shows off the diamond ring placed prominently on his middle finger.
INSIDE_MAN.srt 	INSIDE_MAN_DVS417 	02:00:00,00 --> 02:00:04,50 	he shows the ring.
INSIDE_MAN.srt 	INSIDE_MAN_DVS424 	02:00:55,00 --> 02:01:12,50 	a shadow shows a figure in a brimmed hat.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS76 	00:23:30,00 --> 00:23:38,50 	it shows assembled guests.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS167 	00:54:05,00 --> 00:54:11,50 	someone eyes his cell, shows it to someone, and answers.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS266 	01:15:41,00 --> 01:15:46,50 	she shows a big slice of chocolate cake.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS344 	01:37:43,00 --> 01:37:47,50 	he shows someone in a patterned sweater.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS379 	01:46:28,00 --> 01:46:38,50 	large windows show him talking on a phone.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS405 	01:53:11,00 --> 01:53:22,50 	a view from the front door shows a flatbed truck carry timber past an excavator.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS25 	00:02:58,00 --> 00:03:05,50 	now, the preteen boy in braces shows off sprouting armpit hairs.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS26 	00:03:03,00 --> 00:03:09,50 	his sister passes and shows a bushy patch under her arm.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS37 	00:03:37,00 --> 00:03:41,50 	a stomach puppet shows up.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS136 	00:27:32,00 --> 00:27:38,50 	the photo shows someone about the chow down on a greasy sandwich.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS191 	00:37:24,00 --> 00:37:32,50 	a jumbo screen on the digital scoreboard shows a celebrity cam image of the two stars.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS84 	00:11:59,00 --> 00:12:07,50 	now, a poster shows someone, three others, and the title - portrait of a lost generation.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS137 	00:23:48,00 --> 00:23:53,50 	photos show poultry being prepared.
