21_JUMP_STREET.srt 	21_JUMP_STREET_DVS39 	00:04:28,00 --> 00:04:32,50 	later he drags someone through a jog.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS705 	01:34:00,00 --> 01:34:05,50 	inspectors someone and someone drag someone out of the water.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS81 	00:15:53,00 --> 00:16:20,50 	with a grin, he steps to the side dragging his foot and tracking a long smear.
THE_CALL.srt 	THE_CALL_DVS270 	00:22:59,00 --> 00:23:04,50 	her body falls limp and he drags her to the sedan.
THE_CALL.srt 	THE_CALL_DVS1100 	01:22:43,00 --> 01:23:03,50 	he drags the struggling woman across the room.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS451 	00:52:59,00 --> 00:53:04,50 	her hand bumps it shut as someone drags her back.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS855 	01:36:07,00 --> 01:36:12,50 	she drags a chair to the corner of the room climbs on top and mounts one camera from the ceiling.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS900 	01:39:53,00 --> 01:39:58,50 	someone drags off the cigarette.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS120 	00:13:45,00 --> 00:13:51,50 	fairies point magic wands and drag him back to someone.
TRUE_GRIT.srt 	TRUE_GRIT_DVS297 	01:03:20,00 --> 01:03:25,50 	one of them lassoes him with a rope, pulls him over, he drags him along the ground.
TRUE_GRIT.srt 	TRUE_GRIT_DVS302 	01:03:41,00 --> 01:03:47,50 	someone gets dragged around in the dirt.
TRUE_GRIT.srt 	TRUE_GRIT_DVS423 	01:23:16,00 --> 01:23:21,50 	out of sight in the trees, he drags her to her feet and they continue.
TRUE_GRIT.srt 	TRUE_GRIT_DVS500 	01:33:51,00 --> 01:33:56,50 	dragging him closer with surprising ease.
TRUE_GRIT.srt 	TRUE_GRIT_DVS552 	01:38:42,00 --> 01:38:47,50 	someone drags someone away from him.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS409 	00:34:39,00 --> 00:34:46,50 	water surges around someone's head as the vessel drags him in its wake.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS411 	00:34:59,00 --> 00:35:04,50 	the submarine drags someone beneath the water.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS414 	00:35:28,00 --> 00:35:39,50 	two veins throb in someone's forehead as someone drags him toward the surface.
ZOMBIELAND.srt 	ZOMBIELAND_DVS187 	00:18:19,00 --> 00:18:25,50 	she hobbles at him, her broken ankle dragging behind her.
