0001_American_Beauty_00.03.18.327-00.03.22.048 	JANE is seated at her desk, working at her computer.
0008_Fargo_00.13.23.155-00.13.30.779 	Jerry wanders through the service area where cars are being worked on.
0008_Fargo_00.23.39.168-00.23.47.295 	Scrape-scrape-scrape - he goes back to work on the wind-shield.
0009_Forrest_Gump_00.34.14.647-00.34.17.921 	Forrest finishes assembling his rifle as the other recruits are still working on theirs.
0009_Forrest_Gump_00.44.27.761-00.44.34.042 	Some Vietnamese rice farmers are working as the soldiers walk past.
0009_Forrest_Gump_01.37.39.035-01.37.41.246 	Forrest and Lt. Dan are working on the boat.
0010_Frau_Ohne_Gewissen_01.14.31.490-01.14.31.710 	Lou Schwartz, one of the other salesmen, is working at his desk.
0011_Gandhi_00.18.09.597-00.18.11.449 	Ahead of them three youths (twenty, twenty-one) in working clothes, carrying lunch boxes, lean indolently against a building directly in their path.
0011_Gandhi_00.22.16.602-00.22.17.937 	Some Indians are working below him.
0011_Gandhi_00.37.56.005-00.37.56.881 	People working in offices pause to stare at Gandhi as he moves along, more uncomfortably aware of his prison garb than ever.
0011_Gandhi_01.49.19.736-01.49.25.771 	We see a few people working in the background, and a mass of people camped near the entrance, some sprawled, some sitting, some standing -- all waiting.
0011_Gandhi_02.28.01.886-02.28.02.191 	A spinning wheel works rapidly.
0011_Gandhi_02.59.55.374-02.59.56.969 	Pyarelal is working on papers with him but grins at this.
0014_Ist_das_Leben_nicht_schoen_01.00.17.513-01.00.33.898 	Bert and man working in rain, sorting through travel posters.
0014_Ist_das_Leben_nicht_schoen_01.22.25.612-01.22.29.381 	As George and Violet come through the door, they are being watched by Cousin Tilly, Cousin Eustace and the bank examiner, who is still waiting to go to work on the books.
0014_Ist_das_Leben_nicht_schoen_02.03.25.029-02.03.25.164 	Potter is seated working at his desk, his goon by his side.
0016_O_Brother_Where_Art_Thou_00.11.14.850-00.11.29.461 	Wash is whittling once again; Everett dips his comb into a pomade jar and carefully works on his hair; Pete is digging around with a toothpick; Delmar dreamily waves one hand in time to the music.
0017_Pianist_01.25.42.359-01.25.49.696 	He's working out how best to throw himself out.
0019_Pulp_Fiction_00.56.59.231-00.57.08.000 	Vincent is already out of the car, working on getting Mia out.
0020_Raising_Arizona_00.02.57.644-00.02.59.668 	The Mopping Con is now in the middle-background, having worked his way about halfway up the corridor since last time we saw him.
0020_Raising_Arizona_00.04.45.878-00.04.47.306 	The surly Mopping Con has now worked his way up to the foreground.
0020_Raising_Arizona_00.06.32.433-00.06.35.394 	Hi is working the drill press, wearing goggles and sweat- stained overalls.
0020_Raising_Arizona_00.09.09.882-00.09.15.554 	Once again Hi works as his sweaty gum-chewing colleague stands idly by.
0020_Raising_Arizona_00.31.57.905-00.32.01.861 	Nathan is getting worked up.
0020_Raising_Arizona_00.32.23.271-00.32.25.734 	Throughout the speech Nathan stalks the room, working himself into a frenzy, furiously putting coffee cups onto coasters, generally cleaning up, hectoring the police, and swiping their feet off his furniture.
0021_Rear_Window_00.07.11.759-00.07.18.696 	Carefully, and with considerable ingenuity, he works it under the cast.
0021_Rear_Window_00.08.35.062-00.08.37.121 	As she comes down the stairs of the landing, holding on the wrought iron railing with one hand.
0023_THE_BUTTERFLY_EFFECT_00.02.27.796-00.02.33.627 	Andrea, wearing a mechanic's jumpsuit, works impatiently on the carburetor of a Toyota Celica.
0023_THE_BUTTERFLY_EFFECT_00.34.41.848-00.34.44.542 	We see he's working on the model again, in his own world.
0023_THE_BUTTERFLY_EFFECT_00.36.02.366-00.36.16.006 	Then Lenny suddenly moves back and begins working on the model again, his eyes a million miles away.
0026_The_Big_Fish_01.25.23.728-01.25.26.569 	The Teller Woman is crying as she works the combination.
0026_The_Big_Fish_01.44.08.746-01.44.17.577 	Jenny is working herself into more of a state by not talking.
0028_The_Crying_Game_00.39.37.319-00.39.39.006 	He works furiously and relentlessly, like a machine.
0030_The_Hustler_00.18.09.984-00.18.23.938 	Fats plays quickly, moving from shot to shot with studied authority, his eyes and hands working fluidly together.
0031_The_Lost_Weekend_00.32.03.066-00.32.05.070 	As he looks at the stage, his imagination is working at top speed.
0031_The_Lost_Weekend_01.18.27.502-01.18.31.693 	In the corner the three nurses and the doctor are working over the beetle patient, the doctor giving him a hypo, the nurses getting him into the straitjacket.
0032_The_Princess_Bride_00.46.01.831-00.46.02.421 	He continues to work on her as.
0041_The_Sixth_Sense_01.18.53.749-01.18.59.399 	The city bus slithers through the old Philadelphia streets working its way downtown.
0049_Hannah_and_her_sisters_00.03.37.989-00.03.49.833 	As Holly talks, sipping her drink, Hannah busily works in the kitchen, which contains a large center table stacked with bowls and plates of food, hanging pots and pans, and general party clutter.
0049_Hannah_and_her_sisters_00.09.41.149-00.09.45.614 	Frederick can be seen working at a drawing board on the other side of the clear plastic screen.
0049_Hannah_and_her_sisters_01.27.18.123-01.27.18.983 	Holly stands nearby, working in the pantry area.
0050_Indiana_Jones_and_the_last_crusade_00.04.22.414-00.04.27.288 	As the Robbers continue to search for additional valuables, Indy is able to work his way unseen to within arm's reach of the Cross.
0050_Indiana_Jones_and_the_last_crusade_00.27.32.931-00.27.36.157 	Brody glances at the Diary, then at the window -- noticing that the Roman numerals in question have been worked into the window's design.
0050_Indiana_Jones_and_the_last_crusade_00.46.21.596-00.46.28.069 	Indy and Elsa creep past a room full of NAZI SOLDIERS working around a large table with a map atop it.
0051_Men_in_black_01.08.12.054-01.08.13.779 	In the morgue, LAUREL is working at a desk when suddenly ROSENBERG'S CAT leaps up onto it from nowhere, the way cats do, landing right in the middle of the file she's studying.
1003_How_to_Lose_Friends_and_Alienate_People_00.21.18.046-00.21.20.108 	She works at a computer.
1003_How_to_Lose_Friends_and_Alienate_People_01.26.45.207-01.26.49.074 	Sydney works at his computer in an office, his own.
1005_Signs_01.21.51.599-01.21.54.617 	Graham and Merrill move slowly in different directions, working their way around the rough stone walls.
1010_TITANIC_02.29.08.360-02.29.11.721 	outside, a sailor rotates a winch as others work to turn over the top of the lifeboat.
1010_TITANIC_02.32.19.871-02.32.21.538 	people work to right the overturned lifeboat.
1010_TITANIC_02.48.52.436-02.49.02.336 	elsewhere, survivors in four lifeboats work to lash the vessels together.
1011_The_Help_01.13.41.751-01.13.46.043 	after dark, skeeter is working in her room.
1014_2012_02.23.30.972-02.23.40.344 	adriane works on a laptop in his quarters.
1014_2012_02.26.45.338-02.26.46.548 	on the bridge, professor west is working on a laptop.
1017_Bad_Santa_00.19.56.668-00.20.04.269 	down in front of the grotto, marcus works a crowd of kids.
1017_Bad_Santa_00.30.03.926-00.30.11.805 	willie turns off his engine and one working headlight, then gets out of the car with the kid.
1017_Bad_Santa_00.55.01.541-00.55.03.842 	another woman working at her desk looks up, as does a woman at the next desk.
1018_Body_Of_Lies_01.24.09.280-01.24.11.824 	garland works on a computer.
1028_No_Reservations_01.29.18.601-01.29.21.865 	at the apartment, zoe watches tv as kate works at her desk.
1029_Pride_And_Prejudice_Disk_One_00.09.41.448-00.09.49.573 	meanwhile, downstairs, mr. bennet is working late in his study, poring over the household accounts.
1030_Public_Enemies_00.43.48.990-00.43.52.165 	hoover shifts his resentful gaze and works his jaw.
1030_Public_Enemies_01.01.04.283-01.01.07.950 	as a few deputies and guards work in a front office, a janitor enters.
1030_Public_Enemies_01.03.59.655-01.04.05.705 	they make their way into a garage where a mechanic works on a police car.
1030_Public_Enemies_01.24.47.190-01.24.54.511 	as he stalks closer, the tree working class men exit the lodge.
1030_Public_Enemies_01.38.19.466-01.38.24.587 	he works his lips.
1030_Public_Enemies_01.39.05.058-01.39.09.860 	as an agent stands by, two female operators work an adjacent switchboard.
1031_Quantum_of_Solace_00.21.29.423-00.21.32.740 	their pursuer tries to work out where they've gone.
1031_Quantum_of_Solace_01.06.52.971-01.06.56.360 	ond puts the plane into the dive working the controls furiously as the fighter loops to get behind them.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.41.45.934-01.41.48.723 	he works on the man's face.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.55.34.367-01.55.36.034 	moriarty works on holmes' injured shoulder.
1034_Super_8_00.44.27.853-00.44.28.852 	rooney is working on a power line outside a junkyard.
1034_Super_8_00.44.28.852-00.44.31.864 	he works from the cherry picker on the back of his truck.
1034_Super_8_01.33.06.132-01.33.11.798 	cary selects some suitably noisy fireworks and watches as the alien sets to work on whatever it is it's building.
1035_The_Adjustment_Bureau_00.00.42.665-00.00.48.348 	a lone figure stands under a vaulted ceiling, silhouetted against a wrought iron and plate glass door.
1035_The_Adjustment_Bureau_00.03.23.993-00.03.25.609 	he works his lips under his trim dusting of a moustache.
1035_The_Adjustment_Bureau_00.22.17.268-00.22.21.152 	inside, men in shiny black body suits and visored helmets work on his colleagues, who stand frozen in time.
1035_The_Adjustment_Bureau_00.31.21.511-00.31.32.452 	as men quietly work at other tables around him, some writing in slim books of their own, he shifts his contemplative eyes, then rises.
1038_The_Great_Gatsby_02.00.57.050-02.01.02.024 	nick sits looking sleepy as others work around him.
1041_This_is_40_00.12.15.653-00.12.20.225 	as debbie approaches jodi, pete smiles at stunning desi, who works on a ladder.
1041_This_is_40_00.31.07.999-00.31.13.365 	his doctor bends close from behind, thrusts his finger out of view and works it around.
1046_Australia_01.50.53.467-01.50.58.718 	birds fly over a rocky hill and drover works a brumby in the paddock.
1046_Australia_01.51.36.067-01.51.44.287 	in the paddock, drover works the wild horse, hauling on the rope to prevent it from bucking.
1046_Australia_02.21.40.858-02.21.52.633 	flames roar into the air and king george, watching the soldiers work in the ruin, rubs dye into his cheeks.
1048_Gran_Torino_00.23.31.073-00.23.34.000 	he buffs a wing of the car and works his way around to the bonnet, carefully removing any marks.
1048_Gran_Torino_01.04.30.973-01.04.34.727 	walt's working under the sink in thao's kitchen.
1048_Gran_Torino_01.04.54.277-01.04.56.584 	in his garage, walt works on the fan with thao.
1048_Gran_Torino_01.10.43.815-01.10.50.194 	later, he watches thao working in the garden.
1049_Harry_Potter_and_the_chamber_of_secrets_01.10.39.000-01.10.44.020 	in a classroom, students are working quietly at long tables.
1052_Harry_Potter_and_the_order_of_phoenix_00.19.04.844-00.19.11.245 	carrying briefcases and bundles of papers, they join the throngs of other witches and wizards hurrying to work through the great underground hall.
1057_Seven_pounds_00.39.57.160-00.40.07.564 	ben approaches the window and smiles in at connie, who opens the front door but not the wrought iron screen door.
1057_Seven_pounds_00.43.49.476-00.43.54.649 	emily is at home working at her kitchen table.
1057_Seven_pounds_01.09.20.929-01.09.30.411 	emily looks out of the window to see ben working in the garden.
1057_Seven_pounds_01.18.26.082-01.18.30.212 	ben sets to work on the machine.
1059_The_devil_wears_prada_00.01.14.210-00.01.23.698 	then, the fashionable ladies put on their designer make up working to achieve a flawless finish.
2012_Unbreakable_00.50.45.983-00.50.52.974 	a co-worker finds audrey working with an elderly gentleman who's laboring on a stationary bike.
2017_Bad_Santa_00.07.16.362-00.07.24.138 	marcus arrives outside a doorway and looks in to see willie manning a large water drill and putting it to work on the store's vault.
2026_Legion_00.22.03.797-00.22.09.400 	jeep is buried under the uhaul's hood, working at something with a socket wrench.
2026_Legion_00.27.23.354-00.27.25.113 	percy scrambles over with a first-aid kit and together he and kyle get to work on howard's neck.
1057_Seven_pounds_00.39.57.160-00.40.07.564 	ben approaches the window and smiles in at connie, who opens the front door but not the wrought iron screen door.
1057_Seven_pounds_00.43.49.476-00.43.54.649 	emily is at home working at her kitchen table.
1057_Seven_pounds_01.09.20.929-01.09.30.411 	emily looks out of the window to see ben working in the garden.
1057_Seven_pounds_01.18.26.082-01.18.30.212 	ben sets to work on the machine.
1059_The_devil_wears_prada_00.01.14.210-00.01.23.698 	then, the fashionable ladies put on their designer make up working to achieve a flawless finish.
2012_Unbreakable_00.50.45.983-00.50.52.974 	a co-worker finds audrey working with an elderly gentleman who's laboring on a stationary bike.
2017_Bad_Santa_00.07.16.362-00.07.24.138 	marcus arrives outside a doorway and looks in to see willie manning a large water drill and putting it to work on the store's vault.
2026_Legion_00.22.03.797-00.22.09.400 	jeep is buried under the uhaul's hood, working at something with a socket wrench.
2026_Legion_00.27.23.354-00.27.25.113 	percy scrambles over with a first-aid kit and together he and kyle get to work on howard's neck.
2027_Les_Miserables_01.52.33.498-01.52.35.621 	marius is manically working to raise the height of one of the smaller barricades.
2027_Les_Miserables_02.10.29.236-02.10.38.745 	these are both the middle-class mothers of the students - enjolras's mother, grantaire's sister - and the working women of the slums for whom they died, united now in their grief.
2041_This_is_40_00.15.54.925-00.15.58.309 	although the music is great, it's a little depressing and not working on her.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.13.44.667-00.13.46.738 	harry glances warily from the steaming tureen of green to tom, who works a grimy thumb into his gum, frees a walnut sliver.
