0003_CASABLANCA_01.02.33.941-01.02.34.989 	renault gets up and strolls away.
1011_The_Help_01.24.57.743-01.25.12.979 	she strolls through the spacious rooms and comes into the bedroom, making a beeline for the bathroom door.
1011_The_Help_02.05.46.230-02.05.52.866 	out in the sunshine, minnie is strolling towards celia's house with a bag of groceries, fanning herself in the heat.
1012_Unbreakable_01.19.46.406-01.19.50.506 	the man in the check shirt leans out of a pickup and smashes a bottle over the head of a black woman strolling along a city street at night.
1017_Bad_Santa_00.12.28.414-00.12.34.059 	willies strolls up as the driver hands over the keys.
1017_Bad_Santa_00.16.51.448-00.17.00.687 	he clutches a bottle of dog in his left hand as he strolls along and removes the cigarette from his mouth and takes a good pull on his bottle draining it of its contents.
1017_Bad_Santa_00.32.06.976-00.32.09.768 	he strolls through a woman's wear shop for larger ladies.
1020_Crazy_Stupid_Love_00.22.46.960-00.22.50.133 	he strolls through the mall.
1023_Horrible_Bosses_01.08.00.474-01.08.06.595 	a black officer strolls over and taps on nick's window.
1024_Identity_Thief_00.24.11.661-00.24.16.328 	the plump thief strolls into view in a loud pink print shirt and poofy hair.
1024_Identity_Thief_01.16.42.802-01.16.49.507 	now, in a dapper suit and red tie, he strolls through the offices with diana.
1029_Pride_And_Prejudice_Disk_One_01.17.34.682-01.17.38.029 	they stroll through the garden together.
1030_Public_Enemies_00.23.00.148-00.23.04.815 	anna follows red and veronica as they stroll away, leaving dillinger alone.
1030_Public_Enemies_01.04.55.406-01.04.58.737 	dillinger notices three national guardsmen strolling down the sidewalk.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.17.54.902-01.17.56.715 	he strolls through it and notices something.
1035_The_Adjustment_Bureau_00.53.00.390-00.53.09.838 	as they stroll through a park in the early evening, elise throws her head back and laughs.
1037_The_Curious_Case_Of_Benjamin_Button_00.48.19.866-00.48.23.453 	thomas's motorcar pulls up beside benjamin as he strolls down a rain-washed street.
1037_The_Curious_Case_Of_Benjamin_Button_01.55.28.124-01.55.41.660 	benjamin rises to his feet and enters a hospital ward where he strolls past bed-bound patients.
1037_The_Curious_Case_Of_Benjamin_Button_02.00.07.634-02.00.17.070 	benjamin alights his sailboat and strolls casually on the wooden jetty.
1037_The_Curious_Case_Of_Benjamin_Button_02.10.49.169-02.10.58.666 	he strolls past the lake house to the board walk and close by wooden railings, where daisy sits staring down the length at the derelict jetty, the lake beyond.
1037_The_Curious_Case_Of_Benjamin_Button_02.30.37.083-02.30.44.097 	he looks at her with an air of sadness as she strolls to his hotel room door.
1043_Vantage_Point_00.31.20.738-00.31.27.600 	he strolls deeper into the crowd, his camera focused above their heads.
1043_Vantage_Point_00.56.49.454-00.56.59.121 	he reaches the fourth floor and strolls down a corridor, where he slots a swipe card into a machine on a hotel room door, unlocking it.
1044_Pride_And_Prejudice_Disk_Two_01.40.21.625-01.40.23.026 	they spot him, arms behind his back, strolling pensively into the shade of the trees.
1044_Pride_And_Prejudice_Disk_Two_02.05.42.368-02.05.45.438 	everybody takes their seats, except mr. darcy, who strolls over to the window.
1044_Pride_And_Prejudice_Disk_Two_02.24.38.062-02.24.39.729 	she strolls inside.
1047_Defiance_00.39.17.694-00.39.25.531 	asael strolls down to chaya and tuvia cracks a rare smile.
1047_Defiance_00.50.00.262-00.50.01.645 	he strolls off ahead whistling.
1058_The_Damned_united_00.15.05.172-00.15.13.722 	next, he lays a heavy, glass ashtray beside each of the towels, then strolls out.
1058_The_Damned_united_00.38.34.000-00.38.42.593 	he strolls to the far end of the dressing room and kneels before a heavy-featured, sandy-haired lad, looking him in the eye.
1058_The_Damned_united_00.55.02.411-00.55.05.426 	bremner strolls up to brian and shakes his hand on the touchline.
1058_The_Damned_united_01.07.36.901-01.07.44.259 	they stroll along the seafront passing a woman, hobbling with a zimmer frame.
1058_The_Damned_united_01.23.57.372-01.24.12.372 	brian nods bitterly as don and the presenter rise from their seats and stroll away across the studio floor.
1058_The_Damned_united_01.26.35.298-01.26.38.821 	brian puts his hands in his pockets as he strolls up the drive.
1059_The_devil_wears_prada_01.27.00.180-01.27.05.502 	after dinner, they stroll near the notredam cathedral.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.33.43.000-01.33.46.000 	they stroll along the platform and sit down on a bench.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.51.40.237-01.51.50.888 	outside in brilliant sunshine, the three friends stroll aimlessly along the ruined bridge, with its broken balustrades.
