0002_As_Good_As_It_Gets_00.10.28.109-00.10.30.093 	at times he places his palms together and extends his arms cutting a path through people.
0017_Pianist_01.08.20.198-01.08.27.860 	the ss lieutenant shoves him out of the way, then takes from his belt a dagger and cuts the string.
0017_Pianist_01.27.40.839-01.27.43.260 	he continues to try to cut the bread, when there's a loud hammering on the front door.
0019_Pulp_Fiction_00.53.38.464-00.53.41.341 	mia has the unbeknownst-to-her heroin cut up into big lines on her glass top coffee table.
0019_Pulp_Fiction_01.08.05.354-01.08.07.605 	almost as soon as we cut to him, he wakes up with a start.
0020_Raising_Arizona_01.18.14.284-01.18.14.414 	shooting through where the windshield used to be, cutting in at the end of the skid as the car rocks to a halt.
0021_Rear_Window_01.09.53.778-01.09.55.612 	she cuts him off with a kiss.
0023_THE_BUTTERFLY_EFFECT_00.04.12.284-00.04.14.937 	some of the corpses have been cut open and the insides are surprisingly anatomically correct.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.40.30.761-00.40.33.512 	frodo and sam look aghast at the sight of a narrow, nearvertical staircase, cut into the rock-face.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.52.56.102-00.53.05.552 	madril as he is cut down by an orc.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.36.23.353-01.36.26.233 	gandalf welds his staff, cutting through the attacking orc with ease.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.36.43.682-01.36.45.100 	behind him, an orc prepares to cut down gandalf.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.41.55.490-01.42.08.281 	they whip and snap back into frodo's face as he cuts himself free.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.21.32.886-02.21.35.198 	he pulls out his sword, ready to cut frodo's throat.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.38.49.155-02.38.51.185 	he cuts smeagol across the stomach!
0026_The_Big_Fish_00.13.05.831-00.13.07.392 	this time we don't cut.
0026_The_Big_Fish_00.26.12.372-00.26.19.404 	in a single shot, karl cuts his hair with hedge clippers, while edward cuts up a surplus army tent to make him a shirt.
0027_The_Big_Lebowski_00.07.53.440-00.07.53.710 	he also wears a khaki army surplus shirt with the sleeves cut off over an old bowling shirt.
0028_The_Crying_Game_00.41.44.914-00.41.49.931 	she begins to cut.
0028_The_Crying_Game_01.26.38.083-01.26.43.075 	fergus begins to cut.
0030_The_Hustler_00.39.38.312-00.39.39.490 	her hair is brown, cut short, practically straight.
0030_The_Hustler_00.57.38.706-00.57.41.735 	she cuts her hand opening a can.
0032_The_Princess_Bride_00.15.15.929-00.15.17.151 	the man in black is cutting deeply into fezzik's lead.
0032_The_Princess_Bride_00.15.42.863-00.15.59.859 	vizzini leaps off and takes out a knife, begins to cut the rope which is tied around a great rock while inigo helps the princess to her feet and fezzik just stands around, waiting for someone to tell him to do something.
0032_The_Princess_Bride_00.16.08.067-00.16.09.648 	vizzini, cutting through the last of the rope and.
0033_Amadeus_00.02.20.330-00.02.21.281 	he has cut his throat but is still alive.
0038_Psycho_00.25.03.992-00.25.08.697 	now we cut to the view of the road, from mary's viewpoint.
0041_The_Sixth_Sense_00.55.45.402-00.55.46.151 	they've been savagely cut.
0041_The_Sixth_Sense_01.36.02.522-01.36.02.997 	malcolm watches himself and anna cutting their wedding cake.
0043_Thelma_and_Luise_00.03.29.250-00.03.30.576 	thelma has the phone tucked under her chin, as she cuts out coupons from the newspaper and pins them on a bulletin board already covered with them.
0046_Chasing_Amy_01.07.15.401-01.07.17.848 	cut to cohee lundon.
0049_Hannah_and_her_sisters_00.04.28.392-00.04.30.474 	as they continue to sing, the film cuts back to the kitchen, where lee, carrying some glasses, enters through the doorway.
0049_Hannah_and_her_sisters_00.05.09.736-00.05.11.838 	and the film cuts briefly back to the living room, where evan is still playing the piano and singing.
0049_Hannah_and_her_sisters_00.05.22.708-00.05.25.915 	the table is beautifully set for thanksgiving dinner, complete with candles, flowers, cut crystal, china, and silver.
0049_Hannah_and_her_sisters_00.16.47.933-00.16.57.468 	the movie cuts back and forth between mickey in his phone booth asking questions and dr. wilkes in his office answering them.
0049_Hannah_and_her_sisters_00.24.01.934-00.24.06.131 	the screen cuts to black and a title appears.
0049_Hannah_and_her_sisters_00.24.15.435-00.24.21.792 	he glances at his watch as the film cuts back once again to the loft building, where lee finally appears, walking down the street away from elliot.
0049_Hannah_and_her_sisters_00.24.34.109-00.25.10.926 	elliot frantically looks around again; then, in a burst of decision, he runs around a garbage dump, crossing the street, and still running, he moves down an adjacent street, past the canal lumber company and several other buildings, as the film cuts back to lee, walking down a different street, oblivious.
0049_Hannah_and_her_sisters_00.24.34.109-00.25.10.573 	the jazz plays on as the movie cuts back and forth between the fast-moving elliot, rushing down the soho streets, past a truck waiting for a light to change, past some pedestrians, some garbage cans, turning corners, and the strolling lee, walking up different streets, past different buildings.
0049_Hannah_and_her_sisters_00.28.56.410-00.29.01.268 	the film leaves elliot's face and cuts back to the loft, where lee, having finished the poem, sits up in the bed, staring pensively, lost in her thoughts.
0049_Hannah_and_her_sisters_00.29.08.850-00.29.10.323 	first is a hearing test, and the movie cuts to a darkened hearing-test room.
0049_Hannah_and_her_sisters_00.29.30.563-00.29.33.580 	the film then cuts to a bser test room, where mickey, sitting in a corner chair, wears another set of headphones.
0049_Hannah_and_her_sisters_00.36.15.009-00.36.15.986 	the movie briefly cuts back to the stage.
0049_Hannah_and_her_sisters_00.46.22.523-00.46.23.961 	the film cuts back to the kitchen.
0049_Hannah_and_her_sisters_00.47.23.793-00.47.33.863 	the piano music continues in the background as the movie cuts to: lee walking along a wharf by the waterfront.
0049_Hannah_and_her_sisters_00.48.02.786-00.48.04.589 	the movie then cuts briefly to the computer screen, showing an image of mickey's skull.
0049_Hannah_and_her_sisters_00.48.14.907-00.48.21.860 	while they're studying the cat-scan picture, the camera cuts to a back view of mickey under the module.
0049_Hannah_and_her_sisters_00.48.35.012-00.48.45.469 	the film quickly cuts to a close-up of mickey's face, reacting in total despair.
0049_Hannah_and_her_sisters_00.59.30.680-00.59.34.289 	lee hangs up the phone and the movie cuts back to elliot, standing in his living room.
0049_Hannah_and_her_sisters_01.03.48.018-01.03.53.935 	the film cuts back briefly to bobby short playing the piano.
0049_Hannah_and_her_sisters_01.13.17.770-01.13.22.052 	the camera cuts back to father flynn, who walks over to a leather armchair next to a table set for tea.
0049_Hannah_and_her_sisters_01.13.33.776-01.13.34.344 	the film abruptly cuts to the long hallway in mickey's parents' apartment.
0049_Hannah_and_her_sisters_01.14.48.418-01.14.53.672 	mickey starts pounding the door again as the movie cuts to: a beautiful snow-covered church downtown, complete with courtyard and wrought-iron fence.
0049_Hannah_and_her_sisters_01.16.27.486-01.16.31.640 	the camera follows them, cutting to the restaurant's interior at the same time the sisters walk in.
0049_Hannah_and_her_sisters_01.20.27.931-01.20.29.546 	elliot looks thoughtful as the movie cuts to.
0049_Hannah_and_her_sisters_01.20.53.820-01.20.55.815 	the film cuts back to elliot in his analyst's office.
0049_Hannah_and_her_sisters_01.27.11.715-01.27.13.603 	they look at each other, reacting, as the film cuts back to hannah's kitchen.
0049_Hannah_and_her_sisters_01.27.31.125-01.27.33.435 	holly looks at the door, sipping her wine, as the movie cuts back to hannah's living room.
0049_Hannah_and_her_sisters_01.27.39.743-01.27.45.980 	the uncle and the children happily drink their beer as the movie cuts to a wall with subtly patterned wallpaper in hannah's bedroom.
0049_Hannah_and_her_sisters_01.29.30.338-01.29.36.320 	she sits down heavily, tiredly, on the arm of the couch as the movie cuts to several framed photographs on the mantel.
0049_Hannah_and_her_sisters_01.33.42.748-01.33.43.325 	there is a brief pause and the movie cuts to.
0049_Hannah_and_her_sisters_01.36.03.729-01.36.05.685 	the film abruptly cuts to mickey's flashback, a visual counterpoint to the story he is telling holly.
0049_Hannah_and_her_sisters_01.37.46.632-01.37.53.447 	the film abruptly cuts to the theater's black-and-white screen, where the marx brothers, in duck soup, play the helmets of several soldiers standing in a line like a live xylophone.
0049_Hannah_and_her_sisters_01.38.11.146-01.38.11.912 	the film cuts back to the black-and-white movie screen as mickey continues to talk.
0049_Hannah_and_her_sisters_01.38.25.258-01.38.37.348 	the movie cuts back to mickey, sitting almost obscured in the dark theater.
0049_Hannah_and_her_sisters_01.38.37.334-01.38.40.076 	as mickey talks, the film cuts back to the antics of the marx brothers on the black-and-white theater screen.
0049_Hannah_and_her_sisters_01.38.50.984-01.38.54.930 	as mickey continues, the film cuts back to duck soup on the black-and-white screen.
0049_Hannah_and_her_sisters_01.39.03.502-01.39.06.429 	the marx brothers kneel, strumming their banjos, and the movie cuts back to central park.
0049_Hannah_and_her_sisters_01.40.35.962-01.40.38.805 	the film then cuts back briefly to elliot, holding his drink and looking straight ahead, as it shows his point of view once more.
0049_Hannah_and_her_sisters_01.40.52.109-01.41.00.075 	as lee takes a sip of her drink, the movie cuts back to elliot, standing in the doorway and still staring straight ahead.
0049_Hannah_and_her_sisters_01.41.03.861-01.41.05.828 	the film quickly cuts to a brief look at lee and doug, still talking animatedly and smiling.
0050_Indiana_Jones_and_the_last_crusade_00.51.19.021-00.51.21.880 	he turns and sprays the room with machine gun fire, cutting all three nazis to ribbons and blowing them backwards across the room.
0050_Indiana_Jones_and_the_last_crusade_01.19.26.589-01.19.28.467 	the car races toward a tunnel that cuts through a steep.
0053_Rendezvous_mit_Joe_Black_00.53.51.831-00.53.57.635 	they stride on, cutting through the crowd, joe all at home in his new surrounding, but parrish just the opposite, un- characteristically uncomfortable, phrases forming on his lips but unspoken, then suddenly he blurts out.
1001_Flight_01.51.50.937-01.51.58.700 	he cuts the coke.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.36.06.939-00.36.07.019 	ron tries to cut a sopophorous bean.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.44.35.824-01.44.41.817 	holding a small tin and a pair of scissors, he attempts to cut a piece of plant.
1004_Juno_00.11.13.260-00.11.18.550 	a thin smile flashes across juno's heart-shaped face and she cuts a pipe between her teeth.
1004_Juno_00.49.52.884-00.49.56.860 	bren is cutting out pictures of dogs.
1004_Juno_00.59.54.050-01.00.03.676 	bren, at the sewing machine, cuts the top of a pair of jeans and sews on an elasticated band.
1005_Signs_00.03.45.100-00.03.47.561 	and look along a clear pathway, which cuts through the crop.
1005_Signs_00.37.18.910-00.37.24.893 	turning at the last moment, he cuts straight into the corn.
1006_Slumdog_Millionaire_01.45.16.735-01.45.19.929 	the host looks to the director who shakes his head and makes a cutting motion across his throat.
1007_Spider-Man1_01.24.45.827-01.24.47.300 	one cuts his left arm.
1008_Spider-Man2_00.44.50.014-00.44.53.661 	edgy, the doctor prepares to cut one of the limbs.
1008_Spider-Man2_00.45.31.357-00.45.33.781 	the nurse's fingernails cut grooves in the floor.
1008_Spider-Man2_00.45.49.371-00.45.52.017 	he tries in vain to cut into the limb that's pinning him to the wall.
1009_Spider-Man3_01.29.15.661-01.29.21.054 	harry accidentally cuts through the table, tethering the sky stick, sending it spinning out of control.
1009_Spider-Man3_02.04.38.254-02.04.42.664 	cutting himself free, he knocks venom away.
1010_TITANIC_00.08.57.573-00.09.05.071 	lewis uncorks a bottle of champagne and sprays everyone as a crewman opens the safe with a cutting wheel.
1010_TITANIC_02.06.14.051-02.06.17.295 	rose closes her eyes, swings, and cuts the handcuff chain in half.
1010_TITANIC_02.12.23.612-02.12.28.525 	in the lower lifeboat, a man labors to cut the ropes connecting the two boats.
1010_TITANIC_02.32.52.991-02.33.00.198 	fabrizio and others tried to cut the ropes
1014_2012_02.19.02.014-02.19.06.372 	as the ark approaches everest, the fume from the hydraulic chamber is cut.
1017_Bad_Santa_00.01.46.731-00.01.54.721 	santa cuts a lonely figure as he sucks on a cigarette and calls over to the barman.
1017_Bad_Santa_01.25.43.350-01.25.47.047 	next up, he dons dark goggles and tries to cut his way in with an arc welder.
1017_Bad_Santa_01.31.55.067-01.31.56.064 	they watch as the cops cut santa down in a hail of hot blood.
1018_Body_Of_Lies_00.30.58.748-00.31.00.274 	ferris, who still has cuts on his forehead, gets out of the suv holding a briefcase.
1018_Body_Of_Lies_00.38.00.785-00.38.05.952 	she looks at his bloody hands and cut arm.
1018_Body_Of_Lies_01.53.23.039-01.53.24.469 	ferris' ties are cut.
1019_Confessions_Of_A_Shopaholic_01.25.29.082-01.25.32.962 	all eyes are on her as she cuts a millimeter slice.
1026_Legion_00.25.33.718-00.25.34.155 	she cuts into it.
1027_Les_Miserables_00.24.01.194-00.24.05.589 	fantine's sleek, long dark hair is cut.
1030_Public_Enemies_00.07.26.759-00.07.35.314 	his gaze drifts to a road, which cuts through a desolate field toward the flat horizon.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.30.20.197-00.30.25.321 	the corsac gets up again and cuts the rope linking them together.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.03.44.683-01.03.47.350 	a carpenter cuts his finger, spilling blood.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.04.19.303-01.04.22.970 	watson draws a sword from a stick and cuts the rope holding the sandbag.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.06.30.084-01.06.36.310 	holmes climbs under the stage and cuts a hole in a sheet of canvas.
1037_The_Curious_Case_Of_Benjamin_Button_00.30.36.304-00.30.41.351 	benjamin cuts a forlorn figure as he plods away.
1042_Up_In_The_Air_00.01.31.262-00.01.32.776 	a freeway cutting across lush, green parkland.
1046_Australia_01.23.01.254-01.23.14.000 	drover gallops through carney's men and cuts the rope holding up the gate at the end of the tunnel.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.14.39.210-01.14.43.222 	in the tent, hermione is cutting harry's hair.
1051_Harry_Potter_and_the_goblet_of_fire_02.01.19.358-02.01.21.654 	he cuts harry's arm.
1052_Harry_Potter_and_the_order_of_phoenix_00.39.29.672-00.39.39.949 	as harry writes on the paper, the words appear cut into the skin on the back of his hand.
1052_Harry_Potter_and_the_order_of_phoenix_01.27.24.752-01.27.28.201 	he cuts her dead and walks past.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.23.53.153-01.24.04.595 	ron, harry and hermione run down the steep steps cut into the grassy slope towards hagrid's cottage.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.30.05.400-01.30.10.550 	ahead of them is a flight of steps cut into the twisted roots.
1056_Rambo_00.28.34.474-00.28.38.919 	a volunteer carrying a child in each arm is cut down.
1056_Rambo_00.53.32.874-00.53.37.879 	climbing the wooden ladder leading to it, he cuts the rope securing a door and pulls it open.
1056_Rambo_01.12.08.000-01.12.08.987 	a group of soldiers are cut in two.
1056_Rambo_01.15.59.387-01.16.05.574 	the reinforcements are cut to ribbons in the truck.
1057_Seven_pounds_00.02.00.777-00.02.16.503 	the man, tall, lean and in his 30s, walks up steps from the beach which cut through a garden, abundant with colorful flowers and bushes.
1059_The_devil_wears_prada_01.23.34.000-01.23.38.720 	back in her own suite, andy has changed into a slim-fitting low cut black suit.
1060_Yes_man_00.29.11.722-00.29.14.474 	a slice has been cut from the cake.
1062_Day_the_Earth_stood_still_00.18.52.065-00.19.05.664 	torches mounted on rifles cut shafts of light through the dense gloom.
2004_Juno_00.15.44.493-00.15.44.993 	bren is cutting up liberty's food diligently.
2026_Legion_00.35.27.578-00.35.30.360 	and then flashlight beams cut through the darkness.coming to rest on michael's pale face.
2027_Les_Miserables_01.11.20.220-01.11.20.768 	we cut further down the street to an alleyway where the thenardiers, heavily disguised, are waiting for valjean's approach with their gang of crooks, babet, brujon, clacquesous, montparnasse.
2027_Les_Miserables_01.50.29.932-01.50.31.600 	valjean uses the knife to cut javert free.
2034_Super_8_00.01.27.635-00.01.29.096 	cut wide to reveal that we are in a modest ohio house in the year 1979.
2034_Super_8_00.33.35.649-00.33.37.874 	this lands for joe -- for all of them -- as we cut to.
2034_Super_8_00.47.32.096-00.47.36.956 	louis heads out -- hold on jack as he turns, enters his office, and as that door opens, we cut to.
2034_Super_8_01.14.39.712-01.14.47.984 	now we cut to darkness -- we're inside the dungeon as it opens -- the boys look directly at us -- their faces say it all: the mother lode.
2051_Harry_Potter_and_the_goblet_of_fire_01.00.32.328-01.00.38.211 	the dragon cuts him off and whips him off his broom, he lands on the roof of hogwarts, hanging on for dear life.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.01.02.200-00.01.11.486 	as the blankets blaze, we cut inside, find a skinny boy with a crow's nest of black hair, thick glasses sitting crookedly atop his nose: harry potter.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.24.12.059-00.24.20.049 	gradually, the sweet sound of a choir rises on the air, a flash of lightning bleaches the night sky and we cut to great hall.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.04.06.736-01.04.08.825 	as he leads rosmerta and mcgonagall inside, we cut back to hermione and ron.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.22.35.139-01.22.38.880 	-- we -- cut to harry, ron and hermione.
