0004_Charade_00.52.11.453-00.52.12.241 	the receiver hangs by its cord, swinging back and forth.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.25.22.660-00.25.23.190 	hagrid stands swinging a lantern on the hogwarts platform as the express pulls up.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.47.20.565-00.47.21.536 	a quaffle is aimed at ron who is swinging helplessly.
1005_Signs_01.16.45.436-01.16.52.370 	they swing around and stare petrified down the hallway and into the kitchen towards the backdoor.
1007_Spider-Man1_00.46.00.298-00.46.08.430 	each time it seems he's going to plummet to the ground, he shoots out another web and pulls himself along, again like tarzan swinging from vine to vine.
1007_Spider-Man1_01.01.16.908-01.01.22.256 	a photograph of spider-man swinging off a roof, crawling down a building, saluting the cops, looking at them is the bugle's editor, j. jonah jameson.
1007_Spider-Man1_01.10.11.269-01.10.22.797 	he swing past the twin spires of st. patrick's cathedral and land on the rocket rockefeller center roof garden nearby to the surprise of a canoodling couple.
1007_Spider-Man1_01.10.38.626-01.10.47.253 	mj rushes over to see him swinging back and forth and on the streets.
1007_Spider-Man1_01.41.53.805-01.41.58.989 	the cable car still swinging in the wind, held up only by the goblin's strength.
1008_Spider-Man2_00.56.54.834-00.57.01.911 	he catches her, and they swoop and swing down the street.
1008_Spider-Man2_01.02.45.221-01.02.58.556 	the lights of the empire state building form the backdrop for spider-man to swing slowly and gently through the city.
1008_Spider-Man2_01.44.58.277-01.45.00.725 	swinging gracefully with long of web.
1008_Spider-Man2_02.10.18.095-02.10.22.074 	she sees spider-man swooping, swinging, diving and soaring his way across the city.
1009_Spider-Man3_00.17.23.808-00.17.26.958 	swinging from the thread, he shoots webbing balls.
1009_Spider-Man3_00.20.22.511-00.20.27.845 	they slash at peter who desperately tries to swing out of their way.
1009_Spider-Man3_00.34.35.617-00.34.46.339 	as spider-man approaches swinging from building to building, the metal rail falls loose from the wall and buckles, swinging gwen out above the streets hundreds of feet below.
1009_Spider-Man3_00.48.05.813-00.48.22.692 	photographers turn away from the stage pointing their lenses to the sky as red and blue balloons are released and spider- man comes swinging through the crowd, high-fiving them as sweeps past on a thread.
1009_Spider-Man3_01.05.39.545-01.05.48.609 	swinging from a thread, he sweeps low between the line of cars and up to a high roof adorned with lanterns.
1009_Spider-Man3_01.47.21.102-01.47.25.717 	in a skin tight black spider man style suit venom swinging through the city on pretz.
1009_Spider-Man3_01.53.26.503-01.53.34.226 	a little girl in the vast crowd points up and a wave of heads turn to face spider-man swinging down on a thread.
1010_TITANIC_01.05.39.114-01.05.40.466 	two men swing each other around on the platform as couples dance.
1010_TITANIC_01.31.48.080-01.31.51.409 	he and rose run through swinging doors into a white corridor, then stop.
1010_TITANIC_01.49.35.500-01.49.36.523 	on the boat deck, officers supervise and swing them out over the water.
1019_Confessions_Of_A_Shopaholic_01.03.43.999-01.03.49.078 	next morning, rebecca comes into work in a red dress, with a fluffy orange shrug, swinging a matching orange bag.
1019_Confessions_Of_A_Shopaholic_01.37.28.477-01.37.31.914 	rebecca starts to laugh, swinging her skirt joyfully, then stops in her tracks.
1028_No_Reservations_00.43.52.407-00.43.55.407 	in the kitchen, a bored zoe sits on a worktop, swinging her legs.
1029_Pride_And_Prejudice_Disk_One_01.26.47.419-01.26.51.412 	her dark hair swinging like a ponytail.
1031_Quantum_of_Solace_00.18.55.826-00.18.58.061 	a man leaps through glass doors, swinging the blade wildly.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.21.26.600-00.21.29.205 	in a nightclub, two girls swing upside down from a trapeze.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.23.29.389-01.23.37.972 	clutching the rope attached to the hook in his shoulder, holmes is swinging about a meter off the floor.
1044_Pride_And_Prejudice_Disk_Two_00.08.39.839-00.08.48.203 	it's a bright, sunny day, and lizzy's taking a walk in the park, swinging her bonnet casually to and fro.
1049_Harry_Potter_and_the_chamber_of_secrets_00.47.35.800-00.47.40.097 	later, the staircases swing from side to side into different positions.
1051_Harry_Potter_and_the_goblet_of_fire_01.17.27.010-01.17.30.878 	the huge doors swing open.
1051_Harry_Potter_and_the_goblet_of_fire_01.43.08.917-01.43.13.015 	behind him, the doors of a cabinet swing open.
1052_Harry_Potter_and_the_order_of_phoenix_00.49.45.504-00.49.49.173 	the great main doors swing open.
1052_Harry_Potter_and_the_order_of_phoenix_00.58.12.325-00.58.24.196 	the doors swing open, revealing a long room lined with shadowy mirrors.
1053_Harry_Potter_and_the_philosophers_stone_00.41.30.293-00.41.41.232 	the oak doors swing open and she leads the way into the magnificent great hall of hogwarts school.
1053_Harry_Potter_and_the_philosophers_stone_00.48.23.000-00.48.28.589 	high above their heads, the staircases swing to different positions.
1053_Harry_Potter_and_the_philosophers_stone_01.11.10.696-01.11.16.065 	the angry troll holds harry upside down, swinging him from side to side.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.49.42.749-00.49.58.073 	the huge gates are closed and firmly secured by a system of strong iron locks, which swing neatly into place, one after the other.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.02.45.235-01.02.50.168 	another is swung round by his scarf.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.29.03.684-01.29.10.015 	hermione jumps over a swinging branch, but the next one lifts her off the ground.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.55.12.034-00.55.15.842 	two bold giants swing between pronged weapons and knock people flying.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.02.04.174-01.02.06.865 	they swing their brooms round.
2017_Bad_Santa_00.21.56.650-00.22.01.885 	the doors swing open to reveal a pathetic eight-year-old kid, overweight, snot-nosed, badly dressed and probably smelling of pee.
2017_Bad_Santa_01.26.26.309-01.26.27.739 	willie is atop the safe, swinging a sledgehammer at the lock.
2026_Legion_01.25.56.622-01.25.59.700 	and that gives jeep the chance to swing around and fire.
2027_Les_Miserables_01.41.30.262-01.41.31.135 	guns swing round to aim at javert.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.04.22.169-01.04.23.642 	three shrunken heads swing into view.
