0001_American_Beauty_00.38.32.819-00.38.35.559 	jane covers her ears and starts singing to drown her out.
0026_The_Big_Fish_00.19.22.366-00.19.22.887 	embarrassed, edward just keeps singing, trying to follow along with the baritone part.
0026_The_Big_Fish_00.28.51.542-00.28.52.718 	for the first time, he realizes the birds have stopped singing.
0027_The_Big_Lebowski_01.21.42.582-01.21.44.768 	in the center of the alley stands maude lebowski, singing operatic harmony to the kenny rogers song.
0028_The_Crying_Game_00.59.57.687-01.00.01.935 	the woman is singing.
0028_The_Crying_Game_01.00.33.103-01.00.38.668 	in the bar, people singing along with the music.
0033_Amadeus_00.07.46.276-00.07.53.716 	we see the pretty soprano katherina cavalieri, now about twenty-four, dressed in an elaborate mythological persian costume, singing on stage.
0033_Amadeus_00.40.57.833-00.40.58.905 	cavalieri is singing martern aller arten from the line doch du bist entschlossen.
0033_Amadeus_01.40.52.296-01.41.17.848 	we watch figaro measuring the space for his bed on the floor, singing and susanna looking on, trying on the countess' hat.
0033_Amadeus_02.27.21.798-02.27.34.290 	as she sings, we see the interior of the theatre, now re-arranged from when we last visited it to watch the cabaret.
0033_Amadeus_02.40.47.305-02.40.47.632 	he sings the ostinato phrase twice.
0033_Amadeus_02.40.50.600-02.40.56.617 	the entire confutatis bursts over the room, as mozart snatches the manuscript pages from salieri and reads from it, singing.
0049_Hannah_and_her_sisters_00.04.15.658-00.04.19.321 	holly pops another hors d'oeuvre into her mouth as the background singing gets louder and the film cuts to.
0049_Hannah_and_her_sisters_00.04.28.392-00.04.30.474 	as they continue to sing, the film cuts back to the kitchen, where lee, carrying some glasses, enters through the doorway.
0049_Hannah_and_her_sisters_00.05.11.973-00.05.21.459 	the camera moves past him and a few guests to norma, who is enthusiastically singing along, looking at evan and moving her hands.
0049_Hannah_and_her_sisters_00.36.00.410-00.36.06.564 	onstage, the soprano in the title role sings a mournful aria as she kneels by the ruins of a wagon.
0049_Hannah_and_her_sisters_01.01.28.208-01.01.35.560 	the camera moves down the body of the lead singer, singing into a microphone, from his longish, curly red hair, through his cut-off red shirt and sweaty torso, to his guitar.
0049_Hannah_and_her_sisters_01.10.25.030-01.11.03.221 	the film moves from the audience to the stage where holly, her hands clasped in front of her, continues to sing her song.
0049_Hannah_and_her_sisters_01.14.55.000-01.14.58.469 	the music continues as the film moves inside, where the choir is seen singing behind an altar glowing warm gold.
0049_Hannah_and_her_sisters_01.15.01.768-01.15.03.605 	the choir continues to sing as the movie cuts to father flynn in his office.
0049_Hannah_and_her_sisters_01.21.50.971-01.22.06.776 	mickey walks off, the hare krishnas still dancing and singing on the other side of the fence.
0049_Hannah_and_her_sisters_01.38.40.076-01.38.45.381 	the four brothers are now swaying and singing and strutting, their voices indistinct over mickey's narration.
0049_Hannah_and_her_sisters_01.38.54.930-01.39.00.475 	the marx brothers are sitting on a judge's bench, playing banjos and singing with the other cast members.
0049_Hannah_and_her_sisters_01.38.59.166-01.39.01.247 	they jump down from the bench, still singing.
1006_Slumdog_Millionaire_00.26.10.840-00.26.11.938 	salim steps out to sing.
1008_Spider-Man2_00.43.32.657-00.43.35.993 	two singed scientists leave the building.
1009_Spider-Man3_01.37.30.239-01.37.37.052 	just as mary jane is about to sing, he comes in on piano.
1010_TITANIC_01.14.03.332-01.14.23.547 	in the dining room, a man plays piano as first class passengers, holding sheet music, sing.
1027_Les_Miserables_01.02.32.605-01.02.34.375 	a group of nuns are singing.
1041_This_is_40_00.10.29.043-00.10.33.358 	now, in an suv, he sings to his wife.
1044_Pride_And_Prejudice_Disk_Two_00.59.04.433-00.59.13.581 	that evening mr. darcy watches lizzie with adoring eyes as she plays and sings at the piano.
1046_Australia_00.32.05.973-00.32.07.498 	sing song watches without emotion.
1046_Australia_00.54.03.043-00.54.04.000 	sing song winks.
1046_Australia_00.54.26.164-00.54.30.000 	sing song's chop wagon moves on as drover opens the gate to the cattle pen.
1046_Australia_00.55.22.000-00.55.24.002 	sing song drives his wagon in to the water.
1046_Australia_01.10.40.102-01.10.46.095 	it's strong stuff, but sing song and sarah hold out their cups for more.
1046_Australia_01.29.01.719-01.29.07.047 	nullah's sitting glumly by a cooking fire with sing song and bandy legs.
1046_Australia_01.30.15.000-01.30.16.000 	sitting downstairs in the black section of the audience with sing song.
1055_Marley_and_me_00.54.31.643-00.54.36.935 	from the driver's seat, john looks up and through a window, sees jenny cuddling patrick and singing to him.
1057_Seven_pounds_01.28.58.602-01.29.03.456 	emily sings along.
1058_The_Damned_united_00.03.35.000-00.03.54.463 	two boys in the back stare out through the rain-soaked windows as the handsome driver, brian clough, sings along to the radio.
1060_Yes_man_01.07.45.201-01.07.50.058 	as the crowd sings along, a fire crew arrives.
2026_Legion_01.14.35.428-01.14.35.639 	out of the static, the haunting sounds of bing crosby singing silent night fills the room.
2027_Les_Miserables_00.18.21.536-00.18.41.251 	fantine continues to defend herself to the foreman, as the women sing - .
2027_Les_Miserables_00.25.17.643-00.25.19.333 	on the rotting warship, more whores appear out of the gaps of the hull to sing the chorus.
2027_Les_Miserables_00.25.53.471-00.25.56.006 	whores sing from the warehouse doorways, from on top of the spars of the ships, writhing around figureheads and from the rotting ship.
2027_Les_Miserables_00.44.21.502-00.44.27.528 	they sing at the same time, duelling in song.
2027_Les_Miserables_00.46.45.242-00.46.47.124 	madame thenardier imitates cosette as she sings.
2027_Les_Miserables_01.03.47.658-01.03.49.642 	as he sings he walks out onto the roof and stands by the symbol of the hq, a monumental stone eagle.
2027_Les_Miserables_01.20.07.112-01.20.09.740 	as the students sing, eponine enters wanting to talk to marius.
2027_Les_Miserables_01.35.51.884-01.35.52.031 	softly, in time with the drums, the watching people begin to sing.
2027_Les_Miserables_01.36.47.649-01.36.52.387 	the crowd supports them and surround the coffin carriage, blocking the attempts of the police to intervene, singing with passion.
2027_Les_Miserables_01.52.49.481-01.52.59.315 	grantaire drunkenly starts singing a drinking song and it is taken up more seriously by feuilly.
2027_Les_Miserables_02.14.20.092-02.14.24.699 	as valjean and gillenormand look on, marius and cosette sing their love to each other.
2027_Les_Miserables_02.28.42.390-02.28.44.304 	now among the marchers we see the ghost of valjean, singing with the rest atop the barricade, amongst the waving red flags.
2041_This_is_40_00.15.43.691-00.15.48.091 	pete and debbie watch graham sing a very moving song.
2041_This_is_40_00.58.37.500-00.58.41.391 	sadie and charlotte sing show tunes loudly and happily.
2041_This_is_40_01.27.15.901-01.27.16.023 	pete is eating an egg sandwich and manically singing along.
2041_This_is_40_01.52.59.876-01.53.00.606 	he stands in the back looking uncomfortable, quietly singing.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.24.36.897-00.24.41.199 	we track along the faces of the choir, singing to the strains of a harpsichord, and land on a quintet of toads (one of which -- trevor -- belongs to neville longbottom, who looks on with pride).
