21_JUMP_STREET.srt 	21_JUMP_STREET_DVS56 	00:05:54,00 --> 00:05:58,50 	he sees a biker gang.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS821 	01:21:49,00 --> 01:22:09,50 	someone sees the helicopter still on the ground.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS846 	01:23:42,00 --> 01:23:48,50 	looking out a side door, someone sees the guns engaging.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS858 	01:24:25,00 --> 01:24:32,50 	opening his eyes, someone sees the chopper shooting upward and losing control.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS861 	01:24:35,00 --> 01:24:41,50 	someone sees the truck hanging out and hurls the radio aside.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS900 	01:26:55,00 --> 01:27:07,50 	someone sees the helicopter rapidly approaching.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS235 	00:33:23,00 --> 00:33:29,50 	stepping forward, he sees someone pause at the door to watch her suitor go.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS281 	00:40:24,00 --> 00:40:31,50 	they both see a horse charging straight for them.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS284 	00:41:03,00 --> 00:41:22,50 	as someone mounts the horse, he sees someone run off across the backs of the herd.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS631 	01:28:49,00 --> 01:28:55,50 	someone and someone arrive to see someone bite into someone's neck.
BAD_TEACHER.srt 	BAD_TEACHER_DVS289 	01:18:18,00 --> 01:18:28,50 	on one palm someone sees someone's name written down.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS83 	00:12:37,00 --> 00:12:43,50 	he sees someone pull out of the parking lot in a beat up sedan.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS108 	00:15:18,00 --> 00:15:27,50 	he sees someone fall to the ground.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS226 	00:37:32,00 --> 00:37:37,50 	he opens the door and sees her in her nightgown.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS579 	01:31:23,00 --> 01:31:29,50 	someone sees the russians enter the theater.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS680 	01:43:44,00 --> 01:43:51,50 	now, we see someone behind his turntables with his headphones propped on his head like mouse ears.
BLINDDATING.srt 	BLINDDATING_DVS50 	00:15:17,00 --> 00:15:28,50 	gazing out the window, she sees someone raising his hand in a perfectly timed wave.
BLINDDATING.srt 	BLINDDATING_DVS304 	01:14:59,00 --> 01:15:08,50 	he looks again, sees her tender and emotional gaze and smiles at her.
BLINDDATING.srt 	BLINDDATING_DVS309 	01:15:41,00 --> 01:15:52,50 	now, father and son separate, and someone sees someone step forward with a fond smile.
BRUNO.srt 	BRUNO_DVS160 	00:44:25,00 --> 00:44:53,50 	someone enters and stops short as he sees someone in the dining room.
BURLESQUE.srt 	BURLESQUE_DVS64 	00:05:52,00 --> 00:06:00,50 	on the building's fire escape, she sees a woman in a sexy corset with a short feathery skirt.
BURLESQUE.srt 	BURLESQUE_DVS100 	00:11:18,00 --> 00:11:27,50 	the blonde sees another dancer pulling on a sparkling garter over black stockings.
BURLESQUE.srt 	BURLESQUE_DVS110 	00:14:39,00 --> 00:14:48,50 	now, the young hopeful from iowa sees the pink-haired waitress snubbing a customer.
BURLESQUE.srt 	BURLESQUE_DVS127 	00:17:19,00 --> 00:17:27,50 	she sees someone performing, then someone waiting tables.
BURLESQUE.srt 	BURLESQUE_DVS266 	00:37:45,00 --> 00:37:52,50 	then turns and sees the group disappearing down a staircase without her.
BURLESQUE.srt 	BURLESQUE_DVS296 	00:40:30,00 --> 00:40:36,50 	someone turns to the mirror and sees her red lips and painted eyelids.
BURLESQUE.srt 	BURLESQUE_DVS341 	00:46:56,00 --> 00:47:03,50 	onstage, someone sees the curtain descending.
BURLESQUE.srt 	BURLESQUE_DVS502 	01:09:46,00 --> 01:09:55,50 	see you tomorrow - someone.
BURLESQUE.srt 	BURLESQUE_DVS595 	01:27:53,00 --> 01:27:57,50 	someone sees his bare tush.
BURLESQUE.srt 	BURLESQUE_DVS715 	01:48:16,00 --> 01:48:21,50 	someone lowers her mascara brush as she sees him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS65 	00:05:37,00 --> 00:05:44,50 	as someone pushes his bike, he turns back to see the van park a few doors down the street.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS211 	00:17:02,00 --> 00:17:08,50 	someone throws blond off of him and looks up to see someone frowning.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS539 	00:52:19,00 --> 00:52:27,50 	he sees blond across the parking lot exchanging a small plastic bag for money with a scowling bully.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS612 	00:58:49,00 --> 00:58:54,50 	seeing her, someone pauses.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS985 	01:36:30,00 --> 01:36:36,50 	he and his friends peer over the rail to see someone paddling by.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1032 	01:39:56,00 --> 01:40:03,50 	someone raises his binoculars to see someone arrowing down the face of a cresting wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1040 	01:40:21,00 --> 01:40:28,50 	the photographer lowers his camera to see the board tumble backwards behind the wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1044 	01:40:37,00 --> 01:40:44,50 	the others look back to see receding break fling someone's tiny surfboard up and swallow it.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1064 	01:41:58,00 --> 01:42:04,50 	someone scans the bone yard but sees no sign of someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1099 	01:45:00,00 --> 01:45:06,50 	he looks up to see someone rejoin his surfing buddies.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1120 	01:47:27,00 --> 01:47:34,50 	as someone slows down, he turns to see the veterans sitting on their boards smiling.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1141 	01:49:00,00 --> 01:49:06,50 	he turns to see someone looking up at him with pain in her eyes.
CHRONICLE.srt 	CHRONICLE_DVS104 	00:14:29,00 --> 00:14:33,50 	we see a backyard.
CHRONICLE.srt 	CHRONICLE_DVS246 	00:35:40,00 --> 00:35:47,50 	seen through the hovering camera, the boys' heads form the three points of a triangle.
CHRONICLE.srt 	CHRONICLE_DVS248 	00:36:55,00 --> 00:37:02,50 	now from an angle over someone's shoulder, we see her open her front door.
CHRONICLE.srt 	CHRONICLE_DVS498 	01:11:32,00 --> 01:11:40,50 	from a few blocks away, we see dirt and someone billow up from a roof as the boys bust through.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS67 	00:13:18,00 --> 00:13:31,50 	twirling, he sees someone arrive in the gravely courtyard below.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS249 	01:02:03,00 --> 01:02:11,50 	someone cranes to see.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS263 	01:04:39,00 --> 01:04:47,50 	someone sees him drive off.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS347 	01:26:19,00 --> 01:26:26,50 	seeing a group of cops beating a man with clubs, someone hides back against a wall.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS517 	02:01:15,00 --> 02:01:23,50 	as someone drinks, he sees men and women in the crowd eyeing him dubiously.
COLOMBIANA.srt 	COLOMBIANA_DVS94 	00:07:24,00 --> 00:07:32,50 	he stops as he sees another car approaching.
COLOMBIANA.srt 	COLOMBIANA_DVS108 	00:08:48,00 --> 00:08:58,50 	someone sees her mother racing back up the stairs.
COLOMBIANA.srt 	COLOMBIANA_DVS122 	00:10:00,00 --> 00:10:06,50 	through the open door, she sees the beefy thug ascend the staircase.
COLOMBIANA.srt 	COLOMBIANA_DVS180 	00:15:45,00 --> 00:15:53,50 	returning to the ground, he looks down a staircase and sees the beefy thug peering around the corner of a building.
COLOMBIANA.srt 	COLOMBIANA_DVS751 	01:12:16,00 --> 01:12:23,50 	as he leaves, she opens the paper and sees it's an old photo of herself with her parents.
COLOMBIANA.srt 	COLOMBIANA_DVS955 	01:32:21,00 --> 01:32:28,50 	someone shifts his gaze to an open door straight away and sees a rocket flying right at him.
COLOMBIANA.srt 	COLOMBIANA_DVS1069 	01:40:42,00 --> 01:40:48,50 	turning, someone sees her dogs in the back seat.
DEAR_JOHN.srt 	DEAR_JOHN_DVS239 	00:37:25,00 --> 00:37:50,50 	from inside the po box, we see someone take out her mail.
DEAR_JOHN.srt 	DEAR_JOHN_DVS242 	00:38:14,00 --> 00:38:19,50 	in a lecture, someone sees someone reading.
DEAR_JOHN.srt 	DEAR_JOHN_DVS293 	00:45:22,00 --> 00:45:31,50 	seen distantly through the doorway, someone leaves the stereo and walks out of sight.
DEAR_JOHN.srt 	DEAR_JOHN_DVS306 	00:47:48,00 --> 00:47:55,50 	inside a crowded airport, someone sees someone on the other side of a security gate.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS139 	00:31:32,00 --> 00:31:39,50 	he sees a woman wearing tight-fitting jeans and thinks he has a match.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS175 	00:39:16,00 --> 00:39:23,50 	he stops when he sees a naked woman.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS219 	00:55:47,00 --> 00:55:52,50 	someone sees a car pull up.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS234 	00:58:40,00 --> 00:58:46,50 	someone opens his eyes but doesn't see someone is behind him.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS301 	01:15:29,00 --> 01:15:36,50 	someone and someone see him.
DISTRICT_9.srt 	DISTRICT_9_DVS471 	00:54:35,00 --> 00:54:46,50 	inside, someone johnson looks up and sees him.
DISTRICT_9.srt 	DISTRICT_9_DVS769 	01:31:03,00 --> 01:31:13,50 	someone looks up to see the robot shooting as it charges over.
EASY_A.srt 	EASY_A_DVS131 	00:40:43,00 --> 00:40:50,50 	seeing mr.
FLIGHT.srt 	FLIGHT_DVS113 	00:22:15,00 --> 00:22:22,50 	inside the cabin, someone comes to a rest on the ceiling, and someone sees a young boy slip out of his seat.
FLIGHT.srt 	FLIGHT_DVS127 	00:25:11,00 --> 00:25:17,50 	through blurred vision, someone sees ken leaning to the side in his seat, as he is dragged out.
FLIGHT.srt 	FLIGHT_DVS139 	00:26:24,00 --> 00:26:31,50 	he sees a seated man on the tv gesturing, as rescue workers push a stretcher behind him.
FLIGHT.srt 	FLIGHT_DVS177 	00:38:59,00 --> 00:39:05,50 	he sees someone sitting on the stairs, smoking a cigarette.
FLIGHT.srt 	FLIGHT_DVS526 	01:15:48,00 --> 01:15:53,50 	someone turns around, and sees someone.
FLIGHT.srt 	FLIGHT_DVS610 	01:26:58,00 --> 01:27:03,50 	later, at someone's family farm, someone sees the lights on in the hangar.
FLIGHT.srt 	FLIGHT_DVS684 	01:32:43,00 --> 01:32:48,50 	he stops as he sees the envelope.
FLIGHT.srt 	FLIGHT_DVS771 	01:37:09,00 --> 01:37:15,50 	he brakes when he sees news crews outside the farm house.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS90 	00:23:24,00 --> 00:23:52,50 	now as someone holds up a lipstick sign at the airport, she sees someone's gq flash mob ad on a kiosk.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS313 	01:22:45,00 --> 01:22:51,50 	her mother sees someone's face on someone's cell display.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS323 	01:26:10,00 --> 01:26:14,50 	a nearby security guard sees
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS359 	01:35:31,00 --> 01:35:36,50 	he sees someone's somber face.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS377 	01:39:00,00 --> 01:39:07,50 	someone looks at the stairs and sees someone standing there.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS214 	00:34:18,00 --> 00:34:45,50 	he sees his motorcycle surrounded in billowing fire, waiting for him at the end of an alley.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS241 	00:38:30,00 --> 00:38:47,50 	as it fades, they see ghost rider's horizontal body rotating three feet above the ground.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS244 	00:39:01,00 --> 00:39:08,50 	through its sight, he sees ghost rider approaching.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS267 	00:41:51,00 --> 00:42:00,50 	in the rearview mirror, she sees ghost rider closing in on his motorcycle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS268 	00:41:57,00 --> 00:42:06,50 	as she turns back, she sees him beside her.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS281 	00:43:31,00 --> 00:43:36,50 	he sees the father ruffle his son's hair.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS290 	00:44:44,00 --> 00:44:51,50 	she gives a critical look as she sees someone lift a water pitcher and drink from it.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS312 	00:47:27,00 --> 00:47:36,50 	glancing over his shoulder, someone sees an emt standing at an ambulances open side door.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS351 	00:52:23,00 --> 00:52:28,50 	he sees some robed monks.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS405 	00:59:33,00 --> 00:59:41,50 	as someone arched his back in pain, we see him as a flameless ghost rider falling through a white void.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS534 	01:16:01,00 --> 01:16:05,50 	someone sees them.
GREEN_ZONE.srt 	GREEN_ZONE_DVS20 	00:06:26,00 --> 00:06:34,50 	meanwhile, someone peers up through an awning and sees a figure dash past an open-air window in the tower.
GREEN_ZONE.srt 	GREEN_ZONE_DVS22 	00:06:44,00 --> 00:06:50,50 	someone fires a few bursts at the fifth floor of the tower then sees the sniper's head.
GREEN_ZONE.srt 	GREEN_ZONE_DVS132 	00:30:23,00 --> 00:30:28,50 	the chief peers across the lower window and sees someone's bald head.
GREEN_ZONE.srt 	GREEN_ZONE_DVS134 	00:30:50,00 --> 00:30:58,50 	outside, they ascend a staircase to see an suv drive away down the street.
GREEN_ZONE.srt 	GREEN_ZONE_DVS460 	01:40:56,00 --> 01:41:01,50 	he sees her staring.
GREEN_ZONE.srt 	GREEN_ZONE_DVS473 	01:43:47,00 --> 01:44:30,50 	see attached.
IN_TIME.srt 	IN_TIME_DVS198 	00:20:57,00 --> 00:21:03,50 	banging on the door, she sees the man glance back then hurry off.
IN_TIME.srt 	IN_TIME_DVS564 	01:00:26,00 --> 01:00:31,50 	someone sees a line gathering outside.
IN_TIME.srt 	IN_TIME_DVS610 	01:05:27,00 --> 01:05:32,50 	he sees someone's extra time.
IN_TIME.srt 	IN_TIME_DVS726 	01:17:38,00 --> 01:17:43,50 	peering through blinds, he sees timekeepers approaching.
IN_TIME.srt 	IN_TIME_DVS727 	01:17:42,00 --> 01:17:47,50 	peering through blinds, he sees timekeepers approaching.
IN_TIME.srt 	IN_TIME_DVS909 	01:36:09,00 --> 01:36:14,50 	he glances at the cruiser but sees no movement.
INSIDE_MAN.srt 	INSIDE_MAN_DVS221 	01:02:30,00 --> 01:02:44,50 	seen from inside, she shifts in her seat.
INSIDE_MAN.srt 	INSIDE_MAN_DVS240 	01:11:00,00 --> 01:11:05,50 	we can see awards line a shelf in his office.
INSIDE_MAN.srt 	INSIDE_MAN_DVS286 	01:27:57,00 --> 01:28:04,50 	someone looks over and sees his boss leaning against a dark sedan.
INSIDE_MAN.srt 	INSIDE_MAN_DVS299 	01:30:46,00 --> 01:30:52,50 	we see bloodstains on box 392.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS102 	00:30:52,00 --> 00:31:00,50 	he sees someone rub someone's back, the someone side steps away.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS209 	01:03:13,00 --> 01:03:17,50 	he sees the doctor signal the clerk thumbs up.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS380 	01:46:44,00 --> 01:46:50,50 	he glances over his shoulder and sees her waiting in the doorway.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS47 	00:06:25,00 --> 00:06:31,50 	then he sees a brunette woman near a dozen suitcases.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS126 	00:24:44,00 --> 00:24:50,50 	someone goes to the window and sees someone on a riding lawn mower.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS506 	01:39:23,00 --> 01:39:43,50 	now we see someone turning a crank on a manual sieve strainer, then someone turning on a food processor.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS55 	00:18:51,00 --> 00:19:02,50 	seeing him, the young teacher turns away.
KARATE_KID.srt 	KARATE_KID_DVS418 	00:38:08,00 --> 00:38:14,50 	shifting his eyes, he sees someone and his friends staring at them.
KARATE_KID.srt 	KARATE_KID_DVS452 	00:40:31,00 --> 00:40:37,50 	he hurries behind another parked car and sees them halt on a stoop.
KARATE_KID.srt 	KARATE_KID_DVS475 	00:42:35,00 --> 00:42:42,50 	turning from the locked shed, he sees someone and his cronies enter the courtyard.
KARATE_KID.srt 	KARATE_KID_DVS485 	00:43:43,00 --> 00:43:53,50 	through someone's point of view, we see someone's blurry outline, his chest heaving.
KARATE_KID.srt 	KARATE_KID_DVS1126 	01:33:30,00 --> 01:33:36,50 	he sees someone playing on stage, and steps around the partition.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS296 	01:10:04,00 --> 01:10:12,50 	subtitle: let me see that.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS99 	00:32:40,00 --> 00:32:49,50 	through the lenses, he sees a flash of light receding into the jungle.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS107 	00:34:25,00 --> 00:34:29,50 	they see hundreds of eagle-sized bats.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS190 	01:08:44,00 --> 01:08:48,50 	from a distance, we see someone and someone
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS146 	00:32:31,00 --> 00:32:34,50 	he turns over his shoulder and sees someone.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS180 	00:41:37,00 --> 00:41:41,50 	someone sees someone watching.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS182 	00:43:09,00 --> 00:43:17,50 	he sees the female lacrosse player watching his googly eyed response.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS267 	01:03:57,00 --> 01:04:05,50 	pressing her hands to the door the teacher peers through a peep hole and sees someone as he joyfully move around.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS144 	00:18:11,00 --> 00:18:23,50 	looking right, he sees dozens of kneeling men bowing, performing salah in the mosque's courtyard.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS868 	01:27:22,00 --> 01:27:35,50 	someone brushes his chin length hair from his face and sees a yellow beam of light protruding through a hole in the storm cloud.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS884 	01:29:21,00 --> 01:29:28,50 	shaking his head, someone blinks rapidly and sees someone someone struggling across the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS990 	01:37:25,00 --> 01:37:32,50 	he turns to see someone someone walking through the field of attentive little creatures.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1003 	01:38:25,00 --> 01:38:34,50 	someone turns his head and sees someone someone springing toward the lifeboat.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS104 	00:41:27,00 --> 00:41:31,50 	sees someone stow a bag in a closet.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS105 	00:42:00,00 --> 00:42:26,50 	turning to it, someone reads a text from someone, can't wait to see you at the hotel tonight.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS204 	01:12:46,00 --> 01:12:57,50 	he sees someone in her bra and skirt.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS220 	01:19:10,00 --> 01:19:15,50 	someone turns and sees someone approaching.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS243 	01:22:29,00 --> 01:22:35,50 	he glances around but sees only the playing
MORNING_GLORY.srt 	MORNING_GLORY_DVS459 	01:37:34,00 --> 01:37:40,50 	the interviewers all turn to see someone breaking eggs.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS192 	00:27:02,00 --> 00:27:10,50 	they see the sixth bird running into a wall.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS212 	00:31:10,00 --> 00:31:15,50 	they see someone on the staircase landing.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS223 	00:32:01,00 --> 00:32:09,50 	as the penguins move closer, someone follows and sees someone someone walking like a penguin.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS312 	00:40:17,00 --> 00:40:22,50 	someone sees the penguins leaving the elevator.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS354 	00:44:52,00 --> 00:44:59,50 	someone sees the penguins chasing someone to the exit.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS477 	00:56:51,00 --> 00:56:58,50 	drawing closer, he sees someone inside feeding the penguins.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS491 	00:59:45,00 --> 00:59:53,50 	someone steps into the doorway and sees someone slipping in the snow as he grabs his son.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS639 	01:17:52,00 --> 01:18:00,50 	they see captain sliding down to the edge of a high rooftop.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS655 	01:20:42,00 --> 01:20:47,50 	he sees someone trying to wrangle the approaching penguins.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS692 	01:25:47,00 --> 01:25:53,50 	someone sees captain waddling off to the side.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS369 	01:18:30,00 --> 01:18:38,50 	they see the elephant leaving.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS370 	01:18:37,00 --> 01:18:41,50 	someone sees him off.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS69 	00:07:56,00 --> 00:08:03,50 	he's stocky guy with a friendly face he sees someone.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS93 	00:12:27,00 --> 00:12:31,50 	someone walks down to see him.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS400 	01:13:10,00 --> 01:13:15,50 	someone sees her.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS66 	00:18:24,00 --> 00:18:32,50 	as they race across the clearing, someone looks back to see the minotaur lift her car overhead and throw it.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS83 	00:20:57,00 --> 00:21:06,50 	he sees a person bandaging a patient's leg and a hand sponging a woman's forehead.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS178 	00:40:09,00 --> 00:40:16,50 	a ball of flames appears in his palm and he lowers it for someone to see.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS414 	01:38:55,00 --> 01:39:05,50 	turning, someone sees water jet from its splitting seams.
