21_JUMP_STREET.srt 	21_JUMP_STREET_DVS534 	01:22:48,00 --> 01:22:52,50 	he removes the weapon.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS353 	00:52:32,00 --> 00:52:42,50 	the one in front removes his hood revealing tattooed writing covering his face and bald scalp.
GREEN_ZONE.srt 	GREEN_ZONE_DVS36 	00:08:29,00 --> 00:08:43,50 	someone removes his mask as two men open a pair of tall doors, letting sunlight flood into the room.
GREEN_ZONE.srt 	GREEN_ZONE_DVS233 	00:57:33,00 --> 00:57:42,50 	the guard removes the man's hood and tosses it on the table then posts himself in the corner of the room.
GROWN_UPS.srt 	GROWN_UPS_DVS133 	00:41:48,00 --> 00:41:55,50 	holding the basketball net around the urn, someone removes its lid.
GROWN_UPS.srt 	GROWN_UPS_DVS153 	00:45:40,00 --> 00:45:44,50 	using pliers, she removes a lid
HUGO.srt 	HUGO_DVS55 	00:07:18,00 --> 00:07:24,50 	the station inspector removes the leash from his dog, who then runs off.
HUGO.srt 	HUGO_DVS377 	00:57:38,00 --> 00:57:43,50 	someone removes the key from around her own neck.
HUGO.srt 	HUGO_DVS400 	01:00:05,00 --> 01:00:13,50 	someone glances behind herself then reaches up with both hands and removes the panel.
HUGO.srt 	HUGO_DVS611 	01:27:46,00 --> 01:27:50,50 	someone removes his hat.
IN_TIME.srt 	IN_TIME_DVS71 	00:08:15,00 --> 00:08:19,50 	someone removes his overcoat.
IN_TIME.srt 	IN_TIME_DVS488 	00:53:06,00 --> 00:53:12,50 	someone removes her earrings.
IN_TIME.srt 	IN_TIME_DVS800 	01:25:00,00 --> 01:25:06,50 	someone removes his overcoat then his jacket.
IN_TIME.srt 	IN_TIME_DVS854 	01:30:23,00 --> 01:30:32,50 	as the guards set their weapons on the floor, someone removes his sunglasses.
INSIDE_MAN.srt 	INSIDE_MAN_DVS106 	00:32:36,00 --> 00:32:46,50 	in the bank's supply room, a muscular unmasked robber removes boxes from the back wall.
INSIDE_MAN.srt 	INSIDE_MAN_DVS127 	00:36:28,00 --> 00:36:33,50 	two officers cautiously remove the drawer.
INSIDE_MAN.srt 	INSIDE_MAN_DVS144 	00:43:15,00 --> 00:43:23,50 	a lanky guy removes his hood and mask.
INSIDE_MAN.srt 	INSIDE_MAN_DVS163 	00:47:42,00 --> 00:47:50,50 	the other robber helps her remove her gun and gloves.
INSIDE_MAN.srt 	INSIDE_MAN_DVS167 	00:48:09,00 --> 00:48:14,50 	he removes the busty woman.
INSIDE_MAN.srt 	INSIDE_MAN_DVS175 	00:50:16,00 --> 00:50:37,50 	she moves a tile into a trash bag lined box, gets to her feet and removes a pair of rubber gloves.
INSIDE_MAN.srt 	INSIDE_MAN_DVS203 	00:58:12,00 --> 00:58:32,50 	finding a black suede envelope, he unfastens its string and button closure and removes a manilla envelope from inside it.
INSIDE_MAN.srt 	INSIDE_MAN_DVS387 	01:52:04,00 --> 01:52:10,50 	as a panel gets removed from the wall, someone pushes the stack of boxes out of his way.
INSIDE_MAN.srt 	INSIDE_MAN_DVS431 	02:02:03,00 --> 02:02:19,50 	he removes a diamond.
IRON_MAN_2.srt 	IRON_MAN_2_DVS47 	00:06:14,00 --> 00:06:26,50 	giant robotic arms rise from the platform and remove someone's helmet, revealing his smiling face.
IRON_MAN_2.srt 	IRON_MAN_2_DVS47 	00:06:14,00 --> 00:06:26,50 	other arms remove his iron man suit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS98 	00:18:50,00 --> 00:18:59,50 	someone reaches under his own t-shirt and removes a glowing, cylindrical, repulsory technology, arc reactor - or rt unit - from his chest.
IRON_MAN_2.srt 	IRON_MAN_2_DVS105 	00:20:43,00 --> 00:20:50,50 	someone hops onto a counter, removes a painting from a wall, and hangs the iron man poster.
IRON_MAN_2.srt 	IRON_MAN_2_DVS243 	00:44:29,00 --> 00:44:34,50 	the guard removes someone's handcuffs.
IRON_MAN_2.srt 	IRON_MAN_2_DVS264 	00:48:47,00 --> 00:48:53,50 	someone takes the reactor and removes the smoking ingot.
IRON_MAN_2.srt 	IRON_MAN_2_DVS353 	01:04:08,00 --> 01:04:16,50 	he and someone remove the cover, revealing a white cockatoo.
IRON_MAN_2.srt 	IRON_MAN_2_DVS368 	01:09:51,00 --> 01:10:03,50 	standing beside someone, major allen and another man watch as someone removes the chest plate from the suit, then takes out the glowing arc reactor.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS25 	00:06:56,00 --> 00:07:28,50 	she unwraps a white shawl from her shoulders, tosses it on to a dining room chair, and removes an earring.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS139 	00:43:38,00 --> 00:43:47,50 	nighttime, someone removes a tray of two thick cheese-topped slices of bread from the oven.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS183 	00:58:16,00 --> 00:58:21,50 	he removes his jacket then his trousers.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS140 	00:24:42,00 --> 00:24:49,50 	someone strokes his stomach, then eyes him adoringly as he removes his glasses.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS213 	00:40:51,00 --> 00:40:59,50 	she dons a rubber glove, removes the lid from a pot of boiling water, and takes a lobster out of the bag.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS507 	01:39:41,00 --> 01:39:55,50 	someone removes a cooked chicken from the oven.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS203 	01:11:53,00 --> 01:11:59,50 	someone removes her sunglasses, and smiles lovingly at someone.
KARATE_KID.srt 	KARATE_KID_DVS187 	00:16:12,00 --> 00:16:16,50 	she removes her ear buds.
KARATE_KID.srt 	KARATE_KID_DVS244 	00:21:35,00 --> 00:21:39,50 	someone removes his cap.
KARATE_KID.srt 	KARATE_KID_DVS983 	01:20:22,00 --> 01:20:26,50 	someone removes his hat.
KARATE_KID.srt 	KARATE_KID_DVS1112 	01:32:26,00 --> 01:32:33,50 	someone arrives on the stage, kneels, and removes her violin from its case.
KNOCKED_UP.srt 	KNOCKED_UP_DVS69 	00:40:42,00 --> 00:40:48,50 	on screen, someone removes someone's shirt.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS29 	00:10:40,00 --> 00:10:47,50 	he removes the tarp, revealing a model of a golden building with two pointed towers.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS165 	01:00:35,00 --> 01:00:41,50 	he removes his khaki shirt, leaving his t-shirt on.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS67 	00:18:22,00 --> 00:18:27,50 	removing her helmet, she shakes out her curly hair.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS300 	01:11:31,00 --> 01:11:36,50 	someone removes his reading glasses, then gazes after her.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS322 	01:15:11,00 --> 01:15:16,50 	the aging man removes his helmet.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS142 	00:17:56,00 --> 00:18:04,50 	someone removes his hand from a vishnu figure and presses his palms together in christian prayer.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS960 	01:35:01,00 --> 01:35:08,50 	he removes a leafy bit, inspects it, then puts it in his mouth.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS123 	00:45:23,00 --> 00:45:36,50 	with a furrowed brow, he finds pamphlets for sustengo then removes a sample box.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS239 	01:22:05,00 --> 01:22:09,50 	removes his sweatshirt.
MORNING_GLORY.srt 	MORNING_GLORY_DVS373 	01:21:54,00 --> 01:22:01,50 	someone removes his spectacles.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS77 	00:12:04,00 --> 00:12:10,50 	he removes the top and finds a frozen penguin inside.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS78 	00:12:13,00 --> 00:12:20,50 	he removes the someone penguin from the crate and smirks as he sets it down on an end table.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS170 	00:24:16,00 --> 00:24:21,50 	someone removes a panel on the crate.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS626 	01:16:11,00 --> 01:16:20,50 	removing their masks, the someone walk nonchalantly into a gift shop, followed by the penguins in single file.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS407 	01:25:14,00 --> 01:25:21,50 	someone removes the circular vent.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS408 	01:25:25,00 --> 01:25:38,50 	someone removes a pair of scissors from her tool belt.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS410 	01:25:47,00 --> 01:25:54,50 	she takes out a manicure case and removes a pair of nail scissors.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS249 	01:05:45,00 --> 01:05:50,50 	he removes the pearl from its setting.
PROMETHEUS.srt 	PROMETHEUS_DVS344 	00:33:37,00 --> 00:33:43,50 	glaring scoldingly at holloway, someone removes her helmet.
PROMETHEUS.srt 	PROMETHEUS_DVS466 	00:49:15,00 --> 00:49:22,50 	he removes his helmet and amber visor, revealing his stoic expression.
PROMETHEUS.srt 	PROMETHEUS_DVS468 	00:49:26,00 --> 00:49:31,50 	he removes gloves and tosses them into a bin.
PROMETHEUS.srt 	PROMETHEUS_DVS480 	00:50:28,00 --> 00:50:34,50 	he removes the urn he took from the inner chamber.
PROMETHEUS.srt 	PROMETHEUS_DVS577 	01:04:33,00 --> 01:04:43,50 	he takes a few deep breaths, then removes a gold ring and sets it on the sink.
PROMETHEUS.srt 	PROMETHEUS_DVS602 	01:06:55,00 --> 01:06:59,50 	someone removes his helmet.
PROMETHEUS.srt 	PROMETHEUS_DVS727 	01:17:38,00 --> 01:17:44,50 	someone nods gently, and she allows him to remove her necklace.
PROMETHEUS.srt 	PROMETHEUS_DVS757 	01:22:03,00 --> 01:22:12,50 	someone quickly removes her white hospital gown, revealing her bandage-like underwear, and grabs two auto-injectors.
PROMETHEUS.srt 	PROMETHEUS_DVS1001 	01:49:38,00 --> 01:49:44,50 	someone shovels in, removes her helmet and sets it aside.
PROMETHEUS.srt 	PROMETHEUS_DVS1045 	01:54:10,00 --> 01:54:17,50 	someone puts down her bag and removes her protective space helmet.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS180 	00:34:01,00 --> 00:34:24,50 	someone removes the lid, finding forest green tissue paper over the contents.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS263 	00:50:07,00 --> 00:50:18,50 	inside, the officers lock someone inside a holding cell and remove his handcuffs through the bars.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS357 	01:07:56,00 --> 01:08:19,50 	someone removes the receiver from her ear and clutches it against the base of her neck, resting her chin on her knuckles.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS674 	02:06:45,00 --> 02:06:52,50 	someone removes his hat, crouches, and leans his ear close to someone.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS161 	00:39:45,00 --> 00:39:55,50 	king someone removes one of his rings and holds it up.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS242 	00:55:08,00 --> 00:55:18,50 	someone removes her shoes and sets them on a
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS257 	00:59:29,00 --> 00:59:53,50 	she obediently removes the cape like garment and sets it down, then yanks out the lacings of his tunic setting it aside as well.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS429 	01:46:36,00 --> 01:46:47,50 	smiling rakishly, he removes his gloves.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS152 	00:25:34,00 --> 00:25:43,50 	he removes his glasses briefly and rubs his eyes.
SALT.srt 	SALT_DVS117 	00:22:06,00 --> 00:22:26,50 	someone opens a janitorial closet and removes a bottle from a cabinet.
SALT.srt 	SALT_DVS146 	00:25:58,00 --> 00:26:05,50 	someone removes the sim card from her phone and repeatedly bends it in half.
SALT.srt 	SALT_DVS246 	00:42:34,00 --> 00:42:42,50 	on a hallway, the housekeeping woman removes garments from a rack of laundered clothes and takes them into a guest's room.
SALT.srt 	SALT_DVS248 	00:42:54,00 --> 00:43:07,50 	she peers into a bathroom then returns to the bedroom and removes her knit cap.
SALT.srt 	SALT_DVS249 	00:43:06,00 --> 00:43:20,50 	she removes a set of false teeth from her mouth then takes out a pair of darkly tinted contact lenses from her pale blue eyes.
SALT.srt 	SALT_DVS417 	01:12:54,00 --> 01:12:59,50 	someone removes her false ears.
SALT.srt 	SALT_DVS469 	01:20:28,00 --> 01:20:43,50 	as someone removes his jacket, someone's gaze scans the room and takes in the dead body sprawled behind a control counter.
SALT.srt 	SALT_DVS501 	01:26:25,00 --> 01:26:38,50 	she removes some wires from it.
SANCTUM.srt 	SANCTUM_DVS117 	00:24:13,00 --> 00:24:18,50 	he follows close behind her, rebreather also removed from her back.
SANCTUM.srt 	SANCTUM_DVS202 	00:45:05,00 --> 00:45:09,50 	someone watches, he remove the dead woman's wetsuit.
SANCTUM.srt 	SANCTUM_DVS269 	00:55:00,00 --> 00:55:04,50 	someone removes his mouthpiece.
SANCTUM.srt 	SANCTUM_DVS461 	01:26:05,00 --> 01:26:10,50 	as they walk toward it, someone removes his helmet.
SANCTUM.srt 	SANCTUM_DVS462 	01:26:11,00 --> 01:26:21,50 	someone removes his helmet as well and his father lifts his face to the hole.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS560 	00:37:27,00 --> 00:37:35,50 	she lowers her disheartened gaze, then removes a closed fan from the sleeve of her blue robe.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS735 	00:48:49,00 --> 00:48:55,50 	mrs. wei opens it, then removes and unfolds a letter.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS923 	00:59:55,00 --> 01:00:01,50 	the noblewoman bends down and removes her ornate slipper,
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1294 	01:29:18,00 --> 01:29:26,50 	now sitting on her bed at home, someone removes the gray men's suit jacket from the plastic bag.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS323 	01:06:31,00 --> 01:06:35,50 	someone removes his ring.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS331 	01:07:49,00 --> 01:08:15,50 	someone steps out to the handrail, smirks sadly, and removes someone's ring.
SPARKLE_2012.srt 	SPARKLE_2012_DVS34 	00:06:31,00 --> 00:06:37,50 	someone removes her jacket and sees a man leering at her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS105 	00:17:30,00 --> 00:17:37,50 	she removes them and scurries to the window, as someone watches with an amused look.
SPARKLE_2012.srt 	SPARKLE_2012_DVS342 	00:55:58,00 --> 00:56:04,50 	sister removes her hat, revealing a black eye.
SPARKLE_2012.srt 	SPARKLE_2012_DVS573 	01:34:09,00 --> 01:34:13,50 	the plump woman removes her glasses.
SPARKLE_2012.srt 	SPARKLE_2012_DVS614 	01:39:54,00 --> 01:40:01,50 	someone removes her sunglasses and faces her daughter with puffy eyes.
SUPER_8.srt 	SUPER_8_DVS219 	00:37:16,00 --> 00:37:22,50 	someone glances outside then slowly removes his headphones.
SUPER_8.srt 	SUPER_8_DVS430 	01:17:47,00 --> 01:17:53,50 	someone grabs someone's backpack and removes firecrackers.
THE_ADVENTURES_OF_TINTIN.srt 	THE_ADVENTURES_OF_TINTIN_DVS104 	00:14:36,00 --> 00:14:41,50 	someone opens the case and removes the ship.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS332 	01:04:23,00 --> 01:04:45,50 	he removes his coat.
THE_CALL.srt 	THE_CALL_DVS541 	00:41:45,00 --> 00:41:51,50 	the kidnapper removes a handful of glass shards from his back pocket.
THE_CALL.srt 	THE_CALL_DVS603 	00:46:40,00 --> 00:46:46,50 	the officer removes his sunglasses and takes a few steps forward.
THE_CALL.srt 	THE_CALL_DVS633 	00:49:46,00 --> 00:49:51,50 	she reaches into his breast pocket and removes a wallet.
THE_CALL.srt 	THE_CALL_DVS784 	00:59:33,00 --> 00:59:38,50 	someone removes the photo from the wall.
THE_CALL.srt 	THE_CALL_DVS840 	01:03:51,00 --> 01:04:05,50 	he removes her sandals and grips her ankles as she pulls away.
THE_CALL.srt 	THE_CALL_DVS883 	01:08:29,00 --> 01:08:36,50 	at her desk, someone removes her cell from her ear and lowers her thoughtful gaze.
